"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/acc/bin","transformer-2-w-sample-class-weighted - val/acc/bin__MIN","transformer-2-w-sample-class-weighted - val/acc/bin__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/acc/bin","transformer-2-w-sample-class-raw - val/acc/bin__MIN","transformer-2-w-sample-class-raw - val/acc/bin__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/acc/bin","transformer-2-w-class-raw - val/acc/bin__MIN","transformer-2-w-class-raw - val/acc/bin__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/acc/bin","transformer-2-w-class-weighted - val/acc/bin__MIN","transformer-2-w-class-weighted - val/acc/bin__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/acc/bin","transformer-2-w-sample-unnorm - val/acc/bin__MIN","transformer-2-w-sample-unnorm - val/acc/bin__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/acc/bin","transformer-2-w-sample - val/acc/bin__MIN","transformer-2-w-sample - val/acc/bin__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/acc/bin","transformer-2 - val/acc/bin__MIN","transformer-2 - val/acc/bin__MAX"
"11","12","12","12","0.6376107931137085","0.6376107931137085","0.6376107931137085","12","12","12","0.6068498492240906","0.6068498492240906","0.6068498492240906","12","12","12","0.6392537951469421","0.6392537951469421","0.6392537951469421","12","12","12","0.6366264224052429","0.6366264224052429","0.6366264224052429","12","12","12","0.6219863891601562","0.6219863891601562","0.6219863891601562","12","12","12","0.6231231689453125","0.6231231689453125","0.6231231689453125","11","11","11","0.5138360261917114","0.5138360261917114","0.5138360261917114"
"12","13","13","13","0.6376107931137085","0.6376107931137085","0.6376107931137085","13","13","13","0.6071170568466187","0.6071170568466187","0.6071170568466187","13","13","13","0.6348715424537659","0.6348715424537659","0.6348715424537659","13","13","13","0.6376107931137085","0.6376107931137085","0.6376107931137085","13","13","13","0.6378166079521179","0.6378166079521179","0.6378166079521179","13","13","13","0.6308079957962036","0.6308079957962036","0.6308079957962036","12","12","12","0.5076635479927063","0.5076635479927063","0.5076635479927063"
"13","14","14","14","0.6376107335090637","0.6376107335090637","0.6376107335090637","14","14","14","0.6071527004241943","0.6071527004241943","0.6071527004241943","14","14","14","0.6459248065948486","0.6459248065948486","0.6459248065948486","14","14","14","0.6378559470176697","0.6378559470176697","0.6378559470176697","14","14","14","0.6090248823165894","0.6090248823165894","0.6090248823165894","14","14","14","0.6146358847618103","0.6146358847618103","0.6146358847618103","13","13","13","0.5267713069915771","0.5267713069915771","0.5267713069915771"
"14","15","15","15","0.6376107931137085","0.6376107931137085","0.6376107931137085","15","15","15","0.6068854928016663","0.6068854928016663","0.6068854928016663","15","15","15","0.6393423676490784","0.6393423676490784","0.6393423676490784","15","15","15","0.6329212784767151","0.6329212784767151","0.6329212784767151","15","15","15","0.6255240440368652","0.6255240440368652","0.6255240440368652","15","15","15","0.6291524767875671","0.6291524767875671","0.6291524767875671","14","14","14","0.5564927458763123","0.5564927458763123","0.5564927458763123"
"15","16","16","16","0.6373488306999207","0.6373488306999207","0.6373488306999207","16","16","16","0.6071526408195496","0.6071526408195496","0.6071526408195496","16","16","16","0.6411436200141907","0.6411436200141907","0.6411436200141907","16","16","16","0.637610673904419","0.637610673904419","0.637610673904419","16","16","16","0.6429014205932617","0.6429014205932617","0.6429014205932617","16","16","16","0.6358609795570374","0.6358609795570374","0.6358609795570374","15","15","15","0.5666236877441406","0.5666236877441406","0.5666236877441406"
"16","17","17","17","0.6376107931137085","0.6376107931137085","0.6376107931137085","17","17","17","0.6071527004241943","0.6071527004241943","0.6071527004241943","17","17","17","0.6398740410804749","0.6398740410804749","0.6398740410804749","17","17","17","0.6368955373764038","0.6368955373764038","0.6368955373764038","17","17","17","0.6534663438796997","0.6534663438796997","0.6534663438796997","17","17","17","0.6365386247634888","0.6365386247634888","0.6365386247634888","16","16","16","0.5515995025634766","0.5515995025634766","0.5515995025634766"
"17","18","18","18","0.6380447149276733","0.6380447149276733","0.6380447149276733","18","18","18","0.6068854928016663","0.6068854928016663","0.6068854928016663","18","18","18","0.6419352293014526","0.6419352293014526","0.6419352293014526","18","18","18","0.6353558897972107","0.6353558897972107","0.6353558897972107","18","18","18","0.6383239030838013","0.6383239030838013","0.6383239030838013","18","18","18","0.625194787979126","0.625194787979126","0.625194787979126","17","17","17","0.5666689872741699","0.5666689872741699","0.5666689872741699"
"18","19","19","19","0.6378882527351379","0.6378882527351379","0.6378882527351379","19","19","19","0.6068854928016663","0.6068854928016663","0.6068854928016663","19","19","19","0.650219202041626","0.650219202041626","0.650219202041626","19","19","19","0.6318796277046204","0.6318796277046204","0.6318796277046204","19","19","19","0.6389359831809998","0.6389359831809998","0.6389359831809998","19","19","19","0.651999294757843","0.651999294757843","0.651999294757843","18","18","18","0.6378515958786011","0.6378515958786011","0.6378515958786011"
"19","20","20","20","0.633664071559906","0.633664071559906","0.633664071559906","20","20","20","0.6068540215492249","0.6068540215492249","0.6068540215492249","20","20","20","0.6445224285125732","0.6445224285125732","0.6445224285125732","20","20","20","0.6376107931137085","0.6376107931137085","0.6376107931137085","20","20","20","0.5798532366752625","0.5798532366752625","0.5798532366752625","20","20","20","0.618338406085968","0.618338406085968","0.618338406085968","19","19","19","0.5651638507843018","0.5651638507843018","0.5651638507843018"
"20","21","21","21","0.6337566375732422","0.6337566375732422","0.6337566375732422","21","21","21","0.60659259557724","0.60659259557724","0.60659259557724","21","21","21","0.6492754817008972","0.6492754817008972","0.6492754817008972","21","21","21","0.6386637687683105","0.6386637687683105","0.6386637687683105","21","21","21","0.6557663679122925","0.6557663679122925","0.6557663679122925","21","21","21","0.655968189239502","0.655968189239502","0.655968189239502","20","20","20","0.6260014176368713","0.6260014176368713","0.6260014176368713"
