"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - sig/significance","transformer-2-w-sample-class-weighted - sig/significance__MIN","transformer-2-w-sample-class-weighted - sig/significance__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - sig/significance","transformer-2-w-sample-class-raw - sig/significance__MIN","transformer-2-w-sample-class-raw - sig/significance__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - sig/significance","transformer-2-w-class-raw - sig/significance__MIN","transformer-2-w-class-raw - sig/significance__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - sig/significance","transformer-2-w-class-weighted - sig/significance__MIN","transformer-2-w-class-weighted - sig/significance__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - sig/significance","transformer-2-w-sample-unnorm - sig/significance__MIN","transformer-2-w-sample-unnorm - sig/significance__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - sig/significance","transformer-2-w-sample - sig/significance__MIN","transformer-2-w-sample - sig/significance__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"11","12","12","12","2.0833053588867188","2.0833053588867188","2.0833053588867188","12","12","12","2.0833053588867188","2.0833053588867188","2.0833053588867188","12","12","12","2.136122465133667","2.136122465133667","2.136122465133667","12","12","12","2.0833053588867188","2.0833053588867188","2.0833053588867188","12","12","12","2.2490158081054688","2.2490158081054688","2.2490158081054688","12","12","12","2.268561601638794","2.268561601638794","2.268561601638794","11","11","11","2.15022611618042","2.15022611618042","2.15022611618042"
"12","13","13","13","2.0833053588867188","2.0833053588867188","2.0833053588867188","13","13","13","2.0833053588867188","2.0833053588867188","2.0833053588867188","13","13","13","2.119652032852173","2.119652032852173","2.119652032852173","13","13","13","2.0833053588867188","2.0833053588867188","2.0833053588867188","13","13","13","2.248520612716675","2.248520612716675","2.248520612716675","13","13","13","2.2431390285491943","2.2431390285491943","2.2431390285491943","12","12","12","2.1551830768585205","2.1551830768585205","2.1551830768585205"
"13","14","14","14","2.0833053588867188","2.0833053588867188","2.0833053588867188","14","14","14","2.0833053588867188","2.0833053588867188","2.0833053588867188","14","14","14","2.158933401107788","2.158933401107788","2.158933401107788","14","14","14","2.0833053588867188","2.0833053588867188","2.0833053588867188","14","14","14","2.253246784210205","2.253246784210205","2.253246784210205","14","14","14","2.2768492698669434","2.2768492698669434","2.2768492698669434","13","13","13","2.1592495441436768","2.1592495441436768","2.1592495441436768"
"14","15","15","15","2.0833053588867188","2.0833053588867188","2.0833053588867188","15","15","15","2.0833053588867188","2.0833053588867188","2.0833053588867188","15","15","15","2.1146445274353027","2.1146445274353027","2.1146445274353027","15","15","15","2.0833053588867188","2.0833053588867188","2.0833053588867188","15","15","15","2.26625919342041","2.26625919342041","2.26625919342041","15","15","15","2.2804677486419678","2.2804677486419678","2.2804677486419678","14","14","14","2.1949541568756104","2.1949541568756104","2.1949541568756104"
"15","16","16","16","2.0833053588867188","2.0833053588867188","2.0833053588867188","16","16","16","2.0833053588867188","2.0833053588867188","2.0833053588867188","16","16","16","2.0923094749450684","2.0923094749450684","2.0923094749450684","16","16","16","2.0833053588867188","2.0833053588867188","2.0833053588867188","16","16","16","2.226167917251587","2.226167917251587","2.226167917251587","16","16","16","2.249828577041626","2.249828577041626","2.249828577041626","15","15","15","2.221874475479126","2.221874475479126","2.221874475479126"
"16","17","17","17","2.0833053588867188","2.0833053588867188","2.0833053588867188","17","17","17","2.0833053588867188","2.0833053588867188","2.0833053588867188","17","17","17","2.128589391708374","2.128589391708374","2.128589391708374","17","17","17","2.0833053588867188","2.0833053588867188","2.0833053588867188","17","17","17","2.285093307495117","2.285093307495117","2.285093307495117","17","17","17","2.286193609237671","2.286193609237671","2.286193609237671","16","16","16","2.2215747833251953","2.2215747833251953","2.2215747833251953"
"17","18","18","18","2.0833053588867188","2.0833053588867188","2.0833053588867188","18","18","18","2.0833053588867188","2.0833053588867188","2.0833053588867188","18","18","18","2.1449828147888184","2.1449828147888184","2.1449828147888184","18","18","18","2.0833053588867188","2.0833053588867188","2.0833053588867188","18","18","18","2.257291078567505","2.257291078567505","2.257291078567505","18","18","18","2.283432960510254","2.283432960510254","2.283432960510254","17","17","17","2.246731996536255","2.246731996536255","2.246731996536255"
"18","19","19","19","2.0833053588867188","2.0833053588867188","2.0833053588867188","19","19","19","2.0833053588867188","2.0833053588867188","2.0833053588867188","19","19","19","2.1889827251434326","2.1889827251434326","2.1889827251434326","19","19","19","2.0833053588867188","2.0833053588867188","2.0833053588867188","19","19","19","2.273075819015503","2.273075819015503","2.273075819015503","19","19","19","2.2856647968292236","2.2856647968292236","2.2856647968292236","18","18","18","2.3106157779693604","2.3106157779693604","2.3106157779693604"
"19","20","20","20","2.0833053588867188","2.0833053588867188","2.0833053588867188","20","20","20","2.0833053588867188","2.0833053588867188","2.0833053588867188","20","20","20","2.203974485397339","2.203974485397339","2.203974485397339","20","20","20","2.101451873779297","2.101451873779297","2.101451873779297","20","20","20","2.2519545555114746","2.2519545555114746","2.2519545555114746","20","20","20","2.2667014598846436","2.2667014598846436","2.2667014598846436","19","19","19","2.292386293411255","2.292386293411255","2.292386293411255"
"20","21","21","21","2.0833053588867188","2.0833053588867188","2.0833053588867188","21","21","21","2.0833053588867188","2.0833053588867188","2.0833053588867188","21","21","21","2.202409505844116","2.202409505844116","2.202409505844116","21","21","21","2.0833053588867188","2.0833053588867188","2.0833053588867188","21","21","21","2.2970240116119385","2.2970240116119385","2.2970240116119385","21","21","21","2.2881579399108887","2.2881579399108887","2.2881579399108887","20","20","20","2.3217196464538574","2.3217196464538574","2.3217196464538574"
"21","22","22","22","2.0870580673217773","2.0870580673217773","2.0870580673217773","22","22","22","2.0833053588867188","2.0833053588867188","2.0833053588867188","22","22","22","2.2073535919189453","2.2073535919189453","2.2073535919189453","22","22","22","2.0875821113586426","2.0875821113586426","2.0875821113586426","22","22","22","2.2724339962005615","2.2724339962005615","2.2724339962005615","22","22","22","2.2899250984191895","2.2899250984191895","2.2899250984191895","21","21","21","2.3430299758911133","2.3430299758911133","2.3430299758911133"
"22","23","23","23","2.084519386291504","2.084519386291504","2.084519386291504","23","23","23","2.0833053588867188","2.0833053588867188","2.0833053588867188","23","23","23","2.154998540878296","2.154998540878296","2.154998540878296","23","23","23","2.0833053588867188","2.0833053588867188","2.0833053588867188","23","23","23","2.264125347137451","2.264125347137451","2.264125347137451","23","23","23","2.2550723552703857","2.2550723552703857","2.2550723552703857","22","22","22","2.3518166542053223","2.3518166542053223","2.3518166542053223"
"23","24","24","24","2.087665557861328","2.087665557861328","2.087665557861328","24","24","24","2.0833053588867188","2.0833053588867188","2.0833053588867188","24","24","24","2.197648763656616","2.197648763656616","2.197648763656616","24","24","24","2.0842270851135254","2.0842270851135254","2.0842270851135254","24","24","24","2.286841869354248","2.286841869354248","2.286841869354248","24","24","24","2.29203462600708","2.29203462600708","2.29203462600708","23","23","23","2.332634687423706","2.332634687423706","2.332634687423706"
"24","25","25","25","2.0916364192962646","2.0916364192962646","2.0916364192962646","25","25","25","2.0833053588867188","2.0833053588867188","2.0833053588867188","25","25","25","2.15729022026062","2.15729022026062","2.15729022026062","25","25","25","2.0833053588867188","2.0833053588867188","2.0833053588867188","25","25","25","2.2837507724761963","2.2837507724761963","2.2837507724761963","25","25","25","2.271883726119995","2.271883726119995","2.271883726119995","24","24","24","2.363978147506714","2.363978147506714","2.363978147506714"
"25","26","26","26","2.0971484184265137","2.0971484184265137","2.0971484184265137","26","26","26","2.0833053588867188","2.0833053588867188","2.0833053588867188","26","26","26","2.2058348655700684","2.2058348655700684","2.2058348655700684","26","26","26","2.0883359909057617","2.0883359909057617","2.0883359909057617","26","26","26","2.2579855918884277","2.2579855918884277","2.2579855918884277","26","26","26","2.2789878845214844","2.2789878845214844","2.2789878845214844","25","25","25","2.3497114181518555","2.3497114181518555","2.3497114181518555"
"26","27","27","27","2.1013293266296387","2.1013293266296387","2.1013293266296387","27","27","27","2.0833053588867188","2.0833053588867188","2.0833053588867188","27","27","27","2.171036720275879","2.171036720275879","2.171036720275879","27","27","27","2.0833053588867188","2.0833053588867188","2.0833053588867188","27","27","27","2.275678873062134","2.275678873062134","2.275678873062134","27","27","27","2.2905683517456055","2.2905683517456055","2.2905683517456055","26","26","26","2.336286783218384","2.336286783218384","2.336286783218384"
"27","28","28","28","2.1047070026397705","2.1047070026397705","2.1047070026397705","28","28","28","2.0833053588867188","2.0833053588867188","2.0833053588867188","28","28","28","2.1746597290039062","2.1746597290039062","2.1746597290039062","28","28","28","2.0833053588867188","2.0833053588867188","2.0833053588867188","28","28","28","2.27774715423584","2.27774715423584","2.27774715423584","28","28","28","2.265387773513794","2.265387773513794","2.265387773513794","27","27","27","2.2947258949279785","2.2947258949279785","2.2947258949279785"
"28","29","29","29","2.1040425300598145","2.1040425300598145","2.1040425300598145","29","29","29","2.0833053588867188","2.0833053588867188","2.0833053588867188","29","29","29","2.2353031635284424","2.2353031635284424","2.2353031635284424","29","29","29","2.0833053588867188","2.0833053588867188","2.0833053588867188","29","29","29","2.276801824569702","2.276801824569702","2.276801824569702","29","29","29","2.2809524536132812","2.2809524536132812","2.2809524536132812","28","28","28","2.2878592014312744","2.2878592014312744","2.2878592014312744"
"29","30","30","30","2.1015334129333496","2.1015334129333496","2.1015334129333496","30","30","30","2.0833053588867188","2.0833053588867188","2.0833053588867188","30","30","30","2.1904263496398926","2.1904263496398926","2.1904263496398926","30","30","30","2.0833053588867188","2.0833053588867188","2.0833053588867188","30","30","30","2.2807445526123047","2.2807445526123047","2.2807445526123047","30","30","30","2.2858455181121826","2.2858455181121826","2.2858455181121826","29","29","29","2.3679187297821045","2.3679187297821045","2.3679187297821045"
"30","31","31","31","2.1070544719696045","2.1070544719696045","2.1070544719696045","31","31","31","2.0833053588867188","2.0833053588867188","2.0833053588867188","31","31","31","2.199284076690674","2.199284076690674","2.199284076690674","31","31","31","2.09196138381958","2.09196138381958","2.09196138381958","31","31","31","2.217817544937134","2.217817544937134","2.217817544937134","31","31","31","2.266024589538574","2.266024589538574","2.266024589538574","30","30","30","2.354034900665283","2.354034900665283","2.354034900665283"
"31","32","32","32","2.1090002059936523","2.1090002059936523","2.1090002059936523","32","32","32","2.0833053588867188","2.0833053588867188","2.0833053588867188","32","32","32","2.2343201637268066","2.2343201637268066","2.2343201637268066","32","32","32","2.0833053588867188","2.0833053588867188","2.0833053588867188","32","32","32","2.2465643882751465","2.2465643882751465","2.2465643882751465","32","32","32","2.264380931854248","2.264380931854248","2.264380931854248","31","31","31","2.343345880508423","2.343345880508423","2.343345880508423"
"32","33","33","33","2.0918900966644287","2.0918900966644287","2.0918900966644287","33","33","33","2.0833053588867188","2.0833053588867188","2.0833053588867188","33","33","33","2.177272319793701","2.177272319793701","2.177272319793701","33","33","33","2.0833053588867188","2.0833053588867188","2.0833053588867188","33","33","33","2.2687883377075195","2.2687883377075195","2.2687883377075195","33","33","33","2.2581589221954346","2.2581589221954346","2.2581589221954346","32","32","32","2.3767287731170654","2.3767287731170654","2.3767287731170654"
"33","34","34","34","2.108262538909912","2.108262538909912","2.108262538909912","34","34","34","2.0833053588867188","2.0833053588867188","2.0833053588867188","34","34","34","2.2219831943511963","2.2219831943511963","2.2219831943511963","34","34","34","2.0833053588867188","2.0833053588867188","2.0833053588867188","34","34","34","2.2629427909851074","2.2629427909851074","2.2629427909851074","34","34","34","2.243419647216797","2.243419647216797","2.243419647216797","33","33","33","2.359884023666382","2.359884023666382","2.359884023666382"
"34","35","35","35","2.1022043228149414","2.1022043228149414","2.1022043228149414","35","35","35","2.0833053588867188","2.0833053588867188","2.0833053588867188","35","35","35","2.2298543453216553","2.2298543453216553","2.2298543453216553","35","35","35","2.0833053588867188","2.0833053588867188","2.0833053588867188","35","35","35","2.2651498317718506","2.2651498317718506","2.2651498317718506","35","35","35","2.217363119125366","2.217363119125366","2.217363119125366","34","34","34","2.3798325061798096","2.3798325061798096","2.3798325061798096"
"35","36","36","36","2.093717336654663","2.093717336654663","2.093717336654663","36","36","36","2.0833053588867188","2.0833053588867188","2.0833053588867188","36","36","36","2.246809959411621","2.246809959411621","2.246809959411621","36","36","36","2.0833053588867188","2.0833053588867188","2.0833053588867188","36","36","36","2.2142417430877686","2.2142417430877686","2.2142417430877686","36","36","36","2.268073558807373","2.268073558807373","2.268073558807373","35","35","35","2.3776164054870605","2.3776164054870605","2.3776164054870605"
"36","37","37","37","2.092517852783203","2.092517852783203","2.092517852783203","37","37","37","2.0833053588867188","2.0833053588867188","2.0833053588867188","37","37","37","2.1686503887176514","2.1686503887176514","2.1686503887176514","37","37","37","2.0833053588867188","2.0833053588867188","2.0833053588867188","37","37","37","2.2467925548553467","2.2467925548553467","2.2467925548553467","37","37","37","2.2133123874664307","2.2133123874664307","2.2133123874664307","36","36","36","2.3719215393066406","2.3719215393066406","2.3719215393066406"
"37","38","38","38","2.1052799224853516","2.1052799224853516","2.1052799224853516","38","38","38","2.0833053588867188","2.0833053588867188","2.0833053588867188","38","38","38","2.176119804382324","2.176119804382324","2.176119804382324","38","38","38","2.0833053588867188","2.0833053588867188","2.0833053588867188","38","38","38","2.239672899246216","2.239672899246216","2.239672899246216","38","38","38","2.2816450595855713","2.2816450595855713","2.2816450595855713","37","37","37","2.3388659954071045","2.3388659954071045","2.3388659954071045"
"38","39","39","39","2.0931522846221924","2.0931522846221924","2.0931522846221924","39","39","39","2.0833053588867188","2.0833053588867188","2.0833053588867188","39","39","39","2.205270290374756","2.205270290374756","2.205270290374756","39","39","39","2.0833053588867188","2.0833053588867188","2.0833053588867188","39","39","39","2.2277848720550537","2.2277848720550537","2.2277848720550537","39","39","39","2.262012004852295","2.262012004852295","2.262012004852295","38","38","38","2.369664192199707","2.369664192199707","2.369664192199707"
"39","40","40","40","2.0905044078826904","2.0905044078826904","2.0905044078826904","40","40","40","2.0833053588867188","2.0833053588867188","2.0833053588867188","40","40","40","2.2496492862701416","2.2496492862701416","2.2496492862701416","40","40","40","2.0833053588867188","2.0833053588867188","2.0833053588867188","40","40","40","2.249385356903076","2.249385356903076","2.249385356903076","40","40","40","2.273841142654419","2.273841142654419","2.273841142654419","39","39","39","2.2717912197113037","2.2717912197113037","2.2717912197113037"
"40","41","41","41","2.0953586101531982","2.0953586101531982","2.0953586101531982","41","41","41","2.0833053588867188","2.0833053588867188","2.0833053588867188","41","41","41","2.2574844360351562","2.2574844360351562","2.2574844360351562","41","41","41","2.0833053588867188","2.0833053588867188","2.0833053588867188","41","41","41","2.272996664047241","2.272996664047241","2.272996664047241","41","41","41","2.2638792991638184","2.2638792991638184","2.2638792991638184","40","40","40","2.3554182052612305","2.3554182052612305","2.3554182052612305"
"41","42","42","42","2.08921480178833","2.08921480178833","2.08921480178833","42","42","42","2.0833053588867188","2.0833053588867188","2.0833053588867188","42","42","42","2.257213592529297","2.257213592529297","2.257213592529297","42","42","42","2.0833053588867188","2.0833053588867188","2.0833053588867188","42","42","42","2.2420995235443115","2.2420995235443115","2.2420995235443115","42","42","42","2.2662229537963867","2.2662229537963867","2.2662229537963867","41","41","41","2.383807420730591","2.383807420730591","2.383807420730591"
"42","43","43","43","2.0833053588867188","2.0833053588867188","2.0833053588867188","43","43","43","2.0833053588867188","2.0833053588867188","2.0833053588867188","43","43","43","2.25270414352417","2.25270414352417","2.25270414352417","43","43","43","2.0833053588867188","2.0833053588867188","2.0833053588867188","43","43","43","2.2679131031036377","2.2679131031036377","2.2679131031036377","43","43","43","2.3111424446105957","2.3111424446105957","2.3111424446105957","42","42","42","2.3886818885803223","2.3886818885803223","2.3886818885803223"
