"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/f1","transformer-2-w-sample-class-weighted - val/f1__MIN","transformer-2-w-sample-class-weighted - val/f1__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/f1","transformer-2-w-sample-class-raw - val/f1__MIN","transformer-2-w-sample-class-raw - val/f1__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/f1","transformer-2-w-class-raw - val/f1__MIN","transformer-2-w-class-raw - val/f1__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/f1","transformer-2-w-class-weighted - val/f1__MIN","transformer-2-w-class-weighted - val/f1__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/f1","transformer-2-w-sample-unnorm - val/f1__MIN","transformer-2-w-sample-unnorm - val/f1__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/f1","transformer-2-w-sample - val/f1__MIN","transformer-2-w-sample - val/f1__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/f1","transformer-2 - val/f1__MIN","transformer-2 - val/f1__MAX"
"12","13","13","13","0","0","0","13","13","13","0.16510874032974243","0.16510874032974243","0.16510874032974243","13","13","13","0.034406550228595734","0.034406550228595734","0.034406550228595734","13","13","13","0","0","0","13","13","13","0.5955529808998108","0.5955529808998108","0.5955529808998108","13","13","13","0.6122708916664124","0.6122708916664124","0.6122708916664124","12","12","12","0.553834080696106","0.553834080696106","0.553834080696106"
"13","14","14","14","0","0","0","14","14","14","0.16512124240398407","0.16512124240398407","0.16512124240398407","14","14","14","0.09250223636627197","0.09250223636627197","0.09250223636627197","14","14","14","0.00296033825725317","0.00296033825725317","0.00296033825725317","14","14","14","0.6192668080329895","0.6192668080329895","0.6192668080329895","14","14","14","0.6224741339683533","0.6224741339683533","0.6224741339683533","13","13","13","0.555310845375061","0.555310845375061","0.555310845375061"
"14","15","15","15","0","0","0","15","15","15","0.16502752900123596","0.16502752900123596","0.16502752900123596","15","15","15","0.08300892263650894","0.08300892263650894","0.08300892263650894","15","15","15","0.044527847319841385","0.044527847319841385","0.044527847319841385","15","15","15","0.6104755997657776","0.6104755997657776","0.6104755997657776","15","15","15","0.6014087200164795","0.6014087200164795","0.6014087200164795","14","14","14","0.5486260652542114","0.5486260652542114","0.5486260652542114"
"15","16","16","16","0.0020052939653396606","0.0020052939653396606","0.0020052939653396606","16","16","16","0.16512124240398407","0.16512124240398407","0.16512124240398407","16","16","16","0.035978902131319046","0.035978902131319046","0.035978902131319046","16","16","16","0","0","0","16","16","16","0.5912472605705261","0.5912472605705261","0.5912472605705261","16","16","16","0.5929036140441895","0.5929036140441895","0.5929036140441895","15","15","15","0.5643287897109985","0.5643287897109985","0.5643287897109985"
"16","17","17","17","0","0","0","17","17","17","0.16512124240398407","0.16512124240398407","0.16512124240398407","17","17","17","0.07686805725097656","0.07686805725097656","0.07686805725097656","17","17","17","0.004194291774183512","0.004194291774183512","0.004194291774183512","17","17","17","0.6231005191802979","0.6231005191802979","0.6231005191802979","17","17","17","0.6218574643135071","0.6218574643135071","0.6218574643135071","16","16","16","0.587235689163208","0.587235689163208","0.587235689163208"
"17","18","18","18","0.017506960779428482","0.017506960779428482","0.017506960779428482","18","18","18","0.16502752900123596","0.16502752900123596","0.16502752900123596","18","18","18","0.10847245901823044","0.10847245901823044","0.10847245901823044","18","18","18","0.010240518487989902","0.010240518487989902","0.010240518487989902","18","18","18","0.5994006991386414","0.5994006991386414","0.5994006991386414","18","18","18","0.6052911281585693","0.6052911281585693","0.6052911281585693","17","17","17","0.5627760887145996","0.5627760887145996","0.5627760887145996"
"18","19","19","19","0.0003296435170341283","0.0003296435170341283","0.0003296435170341283","19","19","19","0.16502752900123596","0.16502752900123596","0.16502752900123596","19","19","19","0.15918299555778503","0.15918299555778503","0.15918299555778503","19","19","19","0.02852509915828705","0.02852509915828705","0.02852509915828705","19","19","19","0.6020416021347046","0.6020416021347046","0.6020416021347046","19","19","19","0.6037501692771912","0.6037501692771912","0.6037501692771912","18","18","18","0.6054712533950806","0.6054712533950806","0.6054712533950806"
"19","20","20","20","0.016278063878417015","0.016278063878417015","0.016278063878417015","20","20","20","0.16501650214195251","0.16501650214195251","0.16501650214195251","20","20","20","0.15947970747947693","0.15947970747947693","0.15947970747947693","20","20","20","0","0","0","20","20","20","0.5987969040870667","0.5987969040870667","0.5987969040870667","20","20","20","0.6172678470611572","0.6172678470611572","0.6172678470611572","19","19","19","0.6021973490715027","0.6021973490715027","0.6021973490715027"
"20","21","21","21","0.0077332910150289536","0.0077332910150289536","0.0077332910150289536","21","21","21","0.1639970988035202","0.1639970988035202","0.1639970988035202","21","21","21","0.1773805469274521","0.1773805469274521","0.1773805469274521","21","21","21","0.0064709726721048355","0.0064709726721048355","0.0064709726721048355","21","21","21","0.6072938442230225","0.6072938442230225","0.6072938442230225","21","21","21","0.5827330350875854","0.5827330350875854","0.5827330350875854","20","20","20","0.6238707900047302","0.6238707900047302","0.6238707900047302"
"21","22","22","22","0.014816388487815857","0.014816388487815857","0.014816388487815857","22","22","22","0.16501650214195251","0.16501650214195251","0.16501650214195251","22","22","22","0.25799813866615295","0.25799813866615295","0.25799813866615295","22","22","22","0.007080985698848963","0.007080985698848963","0.007080985698848963","22","22","22","0.6117761731147766","0.6117761731147766","0.6117761731147766","22","22","22","0.6116740107536316","0.6116740107536316","0.6116740107536316","21","21","21","0.6225477457046509","0.6225477457046509","0.6225477457046509"
"22","23","23","23","0.003595180343836546","0.003595180343836546","0.003595180343836546","23","23","23","0.16482621431350708","0.16482621431350708","0.16482621431350708","23","23","23","0.16995453834533691","0.16995453834533691","0.16995453834533691","23","23","23","0.06505249440670013","0.06505249440670013","0.06505249440670013","23","23","23","0.6104387640953064","0.6104387640953064","0.6104387640953064","23","23","23","0.6050640344619751","0.6050640344619751","0.6050640344619751","22","22","22","0.6108455061912537","0.6108455061912537","0.6108455061912537"
"23","24","24","24","0.009662206284701824","0.009662206284701824","0.009662206284701824","24","24","24","0.1639970988035202","0.1639970988035202","0.1639970988035202","24","24","24","0.16221481561660767","0.16221481561660767","0.16221481561660767","24","24","24","0.01599324494600296","0.01599324494600296","0.01599324494600296","24","24","24","0.6111733913421631","0.6111733913421631","0.6111733913421631","24","24","24","0.5940207839012146","0.5940207839012146","0.5940207839012146","23","23","23","0.6070896983146667","0.6070896983146667","0.6070896983146667"
"24","25","25","25","0.027484610676765442","0.027484610676765442","0.027484610676765442","25","25","25","0.16482621431350708","0.16482621431350708","0.16482621431350708","25","25","25","0.17694252729415894","0.17694252729415894","0.17694252729415894","25","25","25","0.05979976803064346","0.05979976803064346","0.05979976803064346","25","25","25","0.6057738661766052","0.6057738661766052","0.6057738661766052","25","25","25","0.5910294055938721","0.5910294055938721","0.5910294055938721","24","24","24","0.6131224036216736","0.6131224036216736","0.6131224036216736"
"25","26","26","26","0.019188040867447853","0.019188040867447853","0.019188040867447853","26","26","26","0.16499774158000946","0.16499774158000946","0.16499774158000946","26","26","26","0.12844429910182953","0.12844429910182953","0.12844429910182953","26","26","26","0.026066124439239502","0.026066124439239502","0.026066124439239502","26","26","26","0.5992342233657837","0.5992342233657837","0.5992342233657837","26","26","26","0.6062140464782715","0.6062140464782715","0.6062140464782715","25","25","25","0.6352705955505371","0.6352705955505371","0.6352705955505371"
"26","27","27","27","0.08410099148750305","0.08410099148750305","0.08410099148750305","27","27","27","0.16482621431350708","0.16482621431350708","0.16482621431350708","27","27","27","0.17058545351028442","0.17058545351028442","0.17058545351028442","27","27","27","0.012899036519229412","0.012899036519229412","0.012899036519229412","27","27","27","0.6118246912956238","0.6118246912956238","0.6118246912956238","27","27","27","0.6142286062240601","0.6142286062240601","0.6142286062240601","26","26","26","0.6015008687973022","0.6015008687973022","0.6015008687973022"
