"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/auc_w/ttH","transformer-2-w-sample-class-weighted - val/auc_w/ttH__MIN","transformer-2-w-sample-class-weighted - val/auc_w/ttH__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/auc_w/ttH","transformer-2-w-sample-class-raw - val/auc_w/ttH__MIN","transformer-2-w-sample-class-raw - val/auc_w/ttH__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/auc_w/ttH","transformer-2-w-class-raw - val/auc_w/ttH__MIN","transformer-2-w-class-raw - val/auc_w/ttH__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/auc_w/ttH","transformer-2-w-class-weighted - val/auc_w/ttH__MIN","transformer-2-w-class-weighted - val/auc_w/ttH__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/auc_w/ttH","transformer-2-w-sample-unnorm - val/auc_w/ttH__MIN","transformer-2-w-sample-unnorm - val/auc_w/ttH__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/auc_w/ttH","transformer-2-w-sample - val/auc_w/ttH__MIN","transformer-2-w-sample - val/auc_w/ttH__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/auc_w/ttH","transformer-2 - val/auc_w/ttH__MIN","transformer-2 - val/auc_w/ttH__MAX"
"11","12","12","12","0.4758090316601528","0.4758090316601528","0.4758090316601528","12","12","12","0.4786742070254906","0.4786742070254906","0.4786742070254906","12","12","12","0.6547101193752904","0.6547101193752904","0.6547101193752904","12","12","12","0.5799256348350479","0.5799256348350479","0.5799256348350479","12","12","12","0.7222290646234051","0.7222290646234051","0.7222290646234051","12","12","12","0.728039666648854","0.728039666648854","0.728039666648854","11","11","11","0.6470546329947215","0.6470546329947215","0.6470546329947215"
"12","13","13","13","0.48537776956212403","0.48537776956212403","0.48537776956212403","13","13","13","0.47846602712468556","0.47846602712468556","0.47846602712468556","13","13","13","0.6653546873472892","0.6653546873472892","0.6653546873472892","13","13","13","0.6000392142668476","0.6000392142668476","0.6000392142668476","13","13","13","0.7143485118816836","0.7143485118816836","0.7143485118816836","13","13","13","0.7180893483989956","0.7180893483989956","0.7180893483989956","12","12","12","0.6618894014467829","0.6618894014467829","0.6618894014467829"
"13","14","14","14","0.46712407021936025","0.46712407021936025","0.46712407021936025","14","14","14","0.47834776875901364","0.47834776875901364","0.47834776875901364","14","14","14","0.6735290082046592","0.6735290082046592","0.6735290082046592","14","14","14","0.5975068209193776","0.5975068209193776","0.5975068209193776","14","14","14","0.7251660111430338","0.7251660111430338","0.7251660111430338","14","14","14","0.7292323608517992","0.7292323608517992","0.7292323608517992","13","13","13","0.6844835598233344","0.6844835598233344","0.6844835598233344"
"14","15","15","15","0.47559313941646053","0.47559313941646053","0.47559313941646053","15","15","15","0.47858004782052477","0.47858004782052477","0.47858004782052477","15","15","15","0.6572163237686253","0.6572163237686253","0.6572163237686253","15","15","15","0.580402361653774","0.580402361653774","0.580402361653774","15","15","15","0.7282307085705086","0.7282307085705086","0.7282307085705086","15","15","15","0.7304568160677605","0.7304568160677605","0.7304568160677605","14","14","14","0.6935514616435821","0.6935514616435821","0.6935514616435821"
"15","16","16","16","0.4490348677526736","0.4490348677526736","0.4490348677526736","16","16","16","0.4786741423158064","0.4786741423158064","0.4786741423158064","16","16","16","0.6530836600330195","0.6530836600330195","0.6530836600330195","16","16","16","0.5818907730263241","0.5818907730263241","0.5818907730263241","16","16","16","0.7078839063926063","0.7078839063926063","0.7078839063926063","16","16","16","0.7155036298148019","0.7155036298148019","0.7155036298148019","15","15","15","0.7037845155235104","0.7037845155235104","0.7037845155235104"
"16","17","17","17","0.4543037087999024","0.4543037087999024","0.4543037087999024","17","17","17","0.47861387198576255","0.47861387198576255","0.47861387198576255","17","17","17","0.6671324019467877","0.6671324019467877","0.6671324019467877","17","17","17","0.5653204379421028","0.5653204379421028","0.5653204379421028","17","17","17","0.7299209522976992","0.7299209522976992","0.7299209522976992","17","17","17","0.732803469048914","0.732803469048914","0.732803469048914","16","16","16","0.7136936794636819","0.7136936794636819","0.7136936794636819"
"17","18","18","18","0.4970344652904255","0.4970344652904255","0.4970344652904255","18","18","18","0.4789393533293551","0.4789393533293551","0.4789393533293551","18","18","18","0.6713582676056048","0.6713582676056048","0.6713582676056048","18","18","18","0.5748945365332835","0.5748945365332835","0.5748945365332835","18","18","18","0.7276555307244584","0.7276555307244584","0.7276555307244584","18","18","18","0.7330645050876783","0.7330645050876783","0.7330645050876783","17","17","17","0.7063208676525645","0.7063208676525645","0.7063208676525645"
"18","19","19","19","0.5293096913960653","0.5293096913960653","0.5293096913960653","19","19","19","0.4786007263494888","0.4786007263494888","0.4786007263494888","19","19","19","0.6832164054299859","0.6832164054299859","0.6832164054299859","19","19","19","0.5616673201855471","0.5616673201855471","0.5616673201855471","19","19","19","0.733153657615428","0.733153657615428","0.733153657615428","19","19","19","0.7318252676117173","0.7318252676117173","0.7318252676117173","18","18","18","0.7320841013619783","0.7320841013619783","0.7320841013619783"
"19","20","20","20","0.5620608152669466","0.5620608152669466","0.5620608152669466","20","20","20","0.47856066603328323","0.47856066603328323","0.47856066603328323","20","20","20","0.6895623743971361","0.6895623743971361","0.6895623743971361","20","20","20","0.600151474029641","0.600151474029641","0.600151474029641","20","20","20","0.7248503532077681","0.7248503532077681","0.7248503532077681","20","20","20","0.7285874507874475","0.7285874507874475","0.7285874507874475","19","19","19","0.7264466490847655","0.7264466490847655","0.7264466490847655"
"20","21","21","21","0.5438621486405922","0.5438621486405922","0.5438621486405922","21","21","21","0.4788767488583144","0.4788767488583144","0.4788767488583144","21","21","21","0.6900901469430967","0.6900901469430967","0.6900901469430967","21","21","21","0.5856028769059014","0.5856028769059014","0.5856028769059014","21","21","21","0.7383415104786758","0.7383415104786758","0.7383415104786758","21","21","21","0.7354619165956401","0.7354619165956401","0.7354619165956401","20","20","20","0.7357936354694766","0.7357936354694766","0.7357936354694766"
