"Name","Tags","sig/significance.max","val/acc/multi.max","val/acc/bin.max","val/auc_w/mean.max","val/auc_w/ttH.max","val/f1.max","val/loss.min","n_parameters"
"transformer-5-100-data-5000-batch-20-drop","experiment, final","2.5456066131591797","0.6482178568840027","0.7362431287765503","0.9234128543274244","0.8231207514413782","0.6784488558769226","0.7952110767364502","4024192"
"transformer-2-100-data-5000-batch","experiment, final","2.535541534423828","0.644037127494812","0.7370167970657349","0.9132155810712334","0.8261767590439726","0.6873580813407898","0.8130863904953003","1657984"
"transformer-5-100-data-5000-batch","final","2.5290756225585938","0.6386001110076904","0.7243516445159912","0.9102614596622596","0.815027881107985","0.6698127388954163","0.8151291608810425","4024192"
"transformer-5-10-data","final","2.483150005340576","0.6093084812164307","0.7023640275001526","0.8898731022403117","0.7937588102562279","0.6610875725746155","0.8944641947746277","4024192"
"transformer-2-10-data","final","2.4573028087615967","0.6018915772438049","0.7038993239402771","0.8883023454852885","0.7923936808351445","0.653194010257721","0.9101458191871644","1657984"
"resnet-8-10-data","final","2.448078870773315","0.6074086427688599","0.6979370713233948","0.8913517838885358","0.7995698418126047","0.6690675616264343","0.926813304424286","43153"
"transformer-2","experiment, final","2.3886818885803223","0.5691153407096863","0.6722005605697632","0.8502073554780738","0.7650025576530513","0.6540043950080872","1.0122150182724","1656704"
"resnet-8","experiment, final","2.290987491607666","0.5206415057182312","0.6621953845024109","0.8330041957634623","0.7391482204245725","0.5977112054824829","1.1243847608566284","43153"
