"Step","transformer-2-(bin) - val/auc","transformer-2-(bin) - val/auc__MIN","transformer-2-(bin) - val/auc__MAX","transformer-2 - val/auc","transformer-2 - val/auc__MIN","transformer-2 - val/auc__MAX"
"1","0.5472185015678406","0.5472185015678406","0.5472185015678406","0.5254329442977905","0.5254329442977905","0.5254329442977905"
"2","0.5713351964950562","0.5713351964950562","0.5713351964950562","0.5678892731666565","0.5678892731666565","0.5678892731666565"
"3","0.5899572372436523","0.5899572372436523","0.5899572372436523","0.592644214630127","0.592644214630127","0.592644214630127"
"4","0.6023273468017578","0.6023273468017578","0.6023273468017578","0.6110125780105591","0.6110125780105591","0.6110125780105591"
"5","0.6129395365715027","0.6129395365715027","0.6129395365715027","0.6208380460739136","0.6208380460739136","0.6208380460739136"
"6","0.6214667558670044","0.6214667558670044","0.6214667558670044","0.634194552898407","0.634194552898407","0.634194552898407"
"7","0.6289607286453247","0.6289607286453247","0.6289607286453247","0.6406168937683105","0.6406168937683105","0.6406168937683105"
"8","0.6354477405548096","0.6354477405548096","0.6354477405548096","0.6492506265640259","0.6492506265640259","0.6492506265640259"
"9","0.6405706405639648","0.6405706405639648","0.6405706405639648","0.6540723443031311","0.6540723443031311","0.6540723443031311"
"10","0.6450225114822388","0.6450225114822388","0.6450225114822388","0.658775806427002","0.658775806427002","0.658775806427002"
"11","0.6485289335250854","0.6485289335250854","0.6485289335250854","0.6648935079574585","0.6648935079574585","0.6648935079574585"
"12","0.6518466472625732","0.6518466472625732","0.6518466472625732","0.6687098741531372","0.6687098741531372","0.6687098741531372"
"13","0.6544852256774902","0.6544852256774902","0.6544852256774902","0.6726598143577576","0.6726598143577576","0.6726598143577576"
"14","0.6567736864089966","0.6567736864089966","0.6567736864089966","0.6773890852928162","0.6773890852928162","0.6773890852928162"
"15","0.6588956117630005","0.6588956117630005","0.6588956117630005","0.6819754242897034","0.6819754242897034","0.6819754242897034"
"16","0.6608209609985352","0.6608209609985352","0.6608209609985352","0.6839852333068848","0.6839852333068848","0.6839852333068848"
"17","0.6626741290092468","0.6626741290092468","0.6626741290092468","0.688909649848938","0.688909649848938","0.688909649848938"
"18","0.6645537614822388","0.6645537614822388","0.6645537614822388","0.693663477897644","0.693663477897644","0.693663477897644"
"19","0.666418194770813","0.666418194770813","0.666418194770813","0.6987718343734741","0.6987718343734741","0.6987718343734741"
"20","0.6681194305419922","0.6681194305419922","0.6681194305419922","0.7038190364837646","0.7038190364837646","0.7038190364837646"
"21","0.6700073480606079","0.6700073480606079","0.6700073480606079","0.7093614339828491","0.7093614339828491","0.7093614339828491"
"22","0.6714848875999451","0.6714848875999451","0.6714848875999451","0.7133432030677795","0.7133432030677795","0.7133432030677795"
"23","0.673272967338562","0.673272967338562","0.673272967338562","0.7168970108032227","0.7168970108032227","0.7168970108032227"
"24","0.6747739315032959","0.6747739315032959","0.6747739315032959","0.7231292724609375","0.7231292724609375","0.7231292724609375"
"25","0.6766308546066284","0.6766308546066284","0.6766308546066284","0.7298548817634583","0.7298548817634583","0.7298548817634583"
"26","0.6781918406486511","0.6781918406486511","0.6781918406486511","0.7343016862869263","0.7343016862869263","0.7343016862869263"
"27","0.6797299385070801","0.6797299385070801","0.6797299385070801","0.7387436032295227","0.7387436032295227","0.7387436032295227"
"28","0.6817827224731445","0.6817827224731445","0.6817827224731445","0.7429126501083374","0.7429126501083374","0.7429126501083374"
"29","0.6831879615783691","0.6831879615783691","0.6831879615783691","0.7460814714431763","0.7460814714431763","0.7460814714431763"
"30","0.6849266290664673","0.6849266290664673","0.6849266290664673","0.7485719919204712","0.7485719919204712","0.7485719919204712"
"31","0.6863881349563599","0.6863881349563599","0.6863881349563599","0.7507011890411377","0.7507011890411377","0.7507011890411377"
"32","0.688033938407898","0.688033938407898","0.688033938407898","0.7521284818649292","0.7521284818649292","0.7521284818649292"
"33","0.6893995404243469","0.6893995404243469","0.6893995404243469","0.7528516054153442","0.7528516054153442","0.7528516054153442"
"34","0.6908233761787415","0.6908233761787415","0.6908233761787415","0.7538082003593445","0.7538082003593445","0.7538082003593445"
"35","0.6925197839736938","0.6925197839736938","0.6925197839736938","0.7550164461135864","0.7550164461135864","0.7550164461135864"
"36","0.6941715478897095","0.6941715478897095","0.6941715478897095","0.7555489540100098","0.7555489540100098","0.7555489540100098"
"37","0.695986270904541","0.695986270904541","0.695986270904541","0.7559889554977417","0.7559889554977417","0.7559889554977417"
"38","0.6974374055862427","0.6974374055862427","0.6974374055862427","0.7581263780593872","0.7581263780593872","0.7581263780593872"
"39","0.6989679932594299","0.6989679932594299","0.6989679932594299","0.7603049278259277","0.7603049278259277","0.7603049278259277"
"40","0.7004178762435913","0.7004178762435913","0.7004178762435913","0.7614867687225342","0.7614867687225342","0.7614867687225342"
"41","0.7018701434135437","0.7018701434135437","0.7018701434135437","0.7637981176376343","0.7637981176376343","0.7637981176376343"
"42","0.7031784057617188","0.7031784057617188","0.7031784057617188","0.7678265571594238","0.7678265571594238","0.7678265571594238"
"43","0.7045024633407593","0.7045024633407593","0.7045024633407593","0.7706491351127625","0.7706491351127625","0.7706491351127625"
"44","0.7059990167617798","0.7059990167617798","0.7059990167617798","0.7729513049125671","0.7729513049125671","0.7729513049125671"
"45","0.7074923515319824","0.7074923515319824","0.7074923515319824","0.7755738496780396","0.7755738496780396","0.7755738496780396"
"46","0.7089403867721558","0.7089403867721558","0.7089403867721558","0.7765949368476868","0.7765949368476868","0.7765949368476868"
"47","0.7104073762893677","0.7104073762893677","0.7104073762893677","0.7761048078536987","0.7761048078536987","0.7761048078536987"
"48","0.7116246819496155","0.7116246819496155","0.7116246819496155","0.7789918184280396","0.7789918184280396","0.7789918184280396"
"49","0.712925910949707","0.712925910949707","0.712925910949707","0.7799546718597412","0.7799546718597412","0.7799546718597412"
"50","0.714169979095459","0.714169979095459","0.714169979095459","0.7813401222229004","0.7813401222229004","0.7813401222229004"
"51","0.7154272794723511","0.7154272794723511","0.7154272794723511","0.7823489904403687","0.7823489904403687","0.7823489904403687"
"52","0.7167341709136963","0.7167341709136963","0.7167341709136963","0.7820039987564087","0.7820039987564087","0.7820039987564087"
"53","0.7179484367370605","0.7179484367370605","0.7179484367370605","0.7838643789291382","0.7838643789291382","0.7838643789291382"
"54","0.7193692922592163","0.7193692922592163","0.7193692922592163","0.7848770022392273","0.7848770022392273","0.7848770022392273"
"55","0.7204849720001221","0.7204849720001221","0.7204849720001221","0.7862063646316528","0.7862063646316528","0.7862063646316528"
"56","0.7215554714202881","0.7215554714202881","0.7215554714202881","0.7880786657333374","0.7880786657333374","0.7880786657333374"
"57","0.7226414680480957","0.7226414680480957","0.7226414680480957","0.7898491621017456","0.7898491621017456","0.7898491621017456"
"58","0.7236764430999756","0.7236764430999756","0.7236764430999756","0.7902858257293701","0.7902858257293701","0.7902858257293701"
"59","0.7247081398963928","0.7247081398963928","0.7247081398963928","0.7904101610183716","0.7904101610183716","0.7904101610183716"
"60","0.725845992565155","0.725845992565155","0.725845992565155","0.7909063100814819","0.7909063100814819","0.7909063100814819"
"61","0.726679801940918","0.726679801940918","0.726679801940918","0.7928367853164673","0.7928367853164673","0.7928367853164673"
"62","0.7278087139129639","0.7278087139129639","0.7278087139129639","0.7937623858451843","0.7937623858451843","0.7937623858451843"
"63","0.7287728786468506","0.7287728786468506","0.7287728786468506","0.7952775955200195","0.7952775955200195","0.7952775955200195"
"64","0.7297184467315674","0.7297184467315674","0.7297184467315674","0.794511616230011","0.794511616230011","0.794511616230011"
"65","0.7304638624191284","0.7304638624191284","0.7304638624191284","0.7963173389434814","0.7963173389434814","0.7963173389434814"
"66","0.7312387228012085","0.7312387228012085","0.7312387228012085","0.799080491065979","0.799080491065979","0.799080491065979"
"67","0.7319592237472534","0.7319592237472534","0.7319592237472534","0.7980891466140747","0.7980891466140747","0.7980891466140747"
"68","0.732775866985321","0.732775866985321","0.732775866985321","0.7999624013900757","0.7999624013900757","0.7999624013900757"
"69","0.7334860563278198","0.7334860563278198","0.7334860563278198","0.8013843297958374","0.8013843297958374","0.8013843297958374"
"70","0.7341269850730896","0.7341269850730896","0.7341269850730896","0.801568865776062","0.801568865776062","0.801568865776062"
"71","0.7347739934921265","0.7347739934921265","0.7347739934921265","0.7998573780059814","0.7998573780059814","0.7998573780059814"
"72","0.735540509223938","0.735540509223938","0.735540509223938","0.8003813624382019","0.8003813624382019","0.8003813624382019"
"73","0.7361011505126953","0.7361011505126953","0.7361011505126953","0.8039443492889404","0.8039443492889404","0.8039443492889404"
