"Step","transformer-2-(bin) - sig/significance","transformer-2-(bin) - sig/significance__MIN","transformer-2-(bin) - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"59","1.9771013259887695","1.9771013259887695","1.9771013259887695","2.1523845195770264","2.1523845195770264","2.1523845195770264"
"60","1.9706536531448364","1.9706536531448364","1.9706536531448364","2.157697916030884","2.157697916030884","2.157697916030884"
"61","1.9712377786636353","1.9712377786636353","1.9712377786636353","2.149750232696533","2.149750232696533","2.149750232696533"
"62","1.9834765195846558","1.9834765195846558","1.9834765195846558","2.157470226287842","2.157470226287842","2.157470226287842"
"63","1.9820200204849243","1.9820200204849243","1.9820200204849243","2.1382482051849365","2.1382482051849365","2.1382482051849365"
"64","1.9836937189102173","1.9836937189102173","1.9836937189102173","2.1473441123962402","2.1473441123962402","2.1473441123962402"
"65","1.9859092235565186","1.9859092235565186","1.9859092235565186","2.135075569152832","2.135075569152832","2.135075569152832"
"66","1.9923464059829712","1.9923464059829712","1.9923464059829712","2.1403729915618896","2.1403729915618896","2.1403729915618896"
"67","1.9932937622070312","1.9932937622070312","1.9932937622070312","2.1372640132904053","2.1372640132904053","2.1372640132904053"
"68","1.9961336851119995","1.9961336851119995","1.9961336851119995","2.1433629989624023","2.1433629989624023","2.1433629989624023"
"69","1.9977809190750122","1.9977809190750122","1.9977809190750122","2.1427695751190186","2.1427695751190186","2.1427695751190186"
"70","2.004061698913574","2.004061698913574","2.004061698913574","2.1497459411621094","2.1497459411621094","2.1497459411621094"
"71","2.0089199542999268","2.0089199542999268","2.0089199542999268","2.1453585624694824","2.1453585624694824","2.1453585624694824"
"72","2.0129406452178955","2.0129406452178955","2.0129406452178955","2.14692759513855","2.14692759513855","2.14692759513855"
"73","2.0175347328186035","2.0175347328186035","2.0175347328186035","2.156383514404297","2.156383514404297","2.156383514404297"
"74","2.0247445106506348","2.0247445106506348","2.0247445106506348","2.157938003540039","2.157938003540039","2.157938003540039"
"75","2.0189380645751953","2.0189380645751953","2.0189380645751953","2.147306203842163","2.147306203842163","2.147306203842163"
"76","2.022387981414795","2.022387981414795","2.022387981414795","2.1664650440216064","2.1664650440216064","2.1664650440216064"
"77","2.0249853134155273","2.0249853134155273","2.0249853134155273","2.161135196685791","2.161135196685791","2.161135196685791"
