"Step","transformer-2-(bin) - val/f1","transformer-2-(bin) - val/f1__MIN","transformer-2-(bin) - val/f1__MAX","transformer-2 - val/f1","transformer-2 - val/f1__MIN","transformer-2 - val/f1__MAX"
"1","0.24408875405788422","0.24408875405788422","0.24408875405788422","0.398221492767334","0.398221492767334","0.398221492767334"
"2","0.32780081033706665","0.32780081033706665","0.32780081033706665","0.40114158391952515","0.40114158391952515","0.40114158391952515"
"3","0.38878294825553894","0.38878294825553894","0.38878294825553894","0.4089735448360443","0.4089735448360443","0.4089735448360443"
"4","0.3097827136516571","0.3097827136516571","0.3097827136516571","0.41219812631607056","0.41219812631607056","0.41219812631607056"
"5","0.37759116291999817","0.37759116291999817","0.37759116291999817","0.41337502002716064","0.41337502002716064","0.41337502002716064"
"6","0.4041956067085266","0.4041956067085266","0.4041956067085266","0.4108063578605652","0.4108063578605652","0.4108063578605652"
"7","0.37907859683036804","0.37907859683036804","0.37907859683036804","0.418701708316803","0.418701708316803","0.418701708316803"
"8","0.4029501676559448","0.4029501676559448","0.4029501676559448","0.4210495948791504","0.4210495948791504","0.4210495948791504"
"9","0.4116532802581787","0.4116532802581787","0.4116532802581787","0.4123556315898895","0.4123556315898895","0.4123556315898895"
"10","0.4212161898612976","0.4212161898612976","0.4212161898612976","0.42130768299102783","0.42130768299102783","0.42130768299102783"
"11","0.4141109585762024","0.4141109585762024","0.4141109585762024","0.42036527395248413","0.42036527395248413","0.42036527395248413"
"12","0.4319112300872803","0.4319112300872803","0.4319112300872803","0.42952167987823486","0.42952167987823486","0.42952167987823486"
"13","0.4388295114040375","0.4388295114040375","0.4388295114040375","0.431003212928772","0.431003212928772","0.431003212928772"
"14","0.4437161982059479","0.4437161982059479","0.4437161982059479","0.43327802419662476","0.43327802419662476","0.43327802419662476"
"15","0.43728479743003845","0.43728479743003845","0.43728479743003845","0.4285416603088379","0.4285416603088379","0.4285416603088379"
"16","0.4351860582828522","0.4351860582828522","0.4351860582828522","0.43287211656570435","0.43287211656570435","0.43287211656570435"
"17","0.4179726541042328","0.4179726541042328","0.4179726541042328","0.4532957673072815","0.4532957673072815","0.4532957673072815"
"18","0.4288225471973419","0.4288225471973419","0.4288225471973419","0.46199265122413635","0.46199265122413635","0.46199265122413635"
"19","0.4520053565502167","0.4520053565502167","0.4520053565502167","0.4540921747684479","0.4540921747684479","0.4540921747684479"
"20","0.45619669556617737","0.45619669556617737","0.45619669556617737","0.45579850673675537","0.45579850673675537","0.45579850673675537"
"21","0.4614872932434082","0.4614872932434082","0.4614872932434082","0.46482372283935547","0.46482372283935547","0.46482372283935547"
"22","0.44783350825309753","0.44783350825309753","0.44783350825309753","0.46914294362068176","0.46914294362068176","0.46914294362068176"
"23","0.46498727798461914","0.46498727798461914","0.46498727798461914","0.47694605588912964","0.47694605588912964","0.47694605588912964"
"24","0.442034512758255","0.442034512758255","0.442034512758255","0.47469332814216614","0.47469332814216614","0.47469332814216614"
"25","0.45879825949668884","0.45879825949668884","0.45879825949668884","0.4830997884273529","0.4830997884273529","0.4830997884273529"
"26","0.4601067304611206","0.4601067304611206","0.4601067304611206","0.5000618696212769","0.5000618696212769","0.5000618696212769"
"27","0.46550145745277405","0.46550145745277405","0.46550145745277405","0.5102792382240295","0.5102792382240295","0.5102792382240295"
"28","0.4718760848045349","0.4718760848045349","0.4718760848045349","0.522404670715332","0.522404670715332","0.522404670715332"
"29","0.47592633962631226","0.47592633962631226","0.47592633962631226","0.5214853286743164","0.5214853286743164","0.5214853286743164"
"30","0.4734158217906952","0.4734158217906952","0.4734158217906952","0.5166578888893127","0.5166578888893127","0.5166578888893127"
"31","0.47237706184387207","0.47237706184387207","0.47237706184387207","0.5279629826545715","0.5279629826545715","0.5279629826545715"
"32","0.48379141092300415","0.48379141092300415","0.48379141092300415","0.5210555791854858","0.5210555791854858","0.5210555791854858"
"33","0.4768691956996918","0.4768691956996918","0.4768691956996918","0.5337437987327576","0.5337437987327576","0.5337437987327576"
"34","0.47853270173072815","0.47853270173072815","0.47853270173072815","0.5397973656654358","0.5397973656654358","0.5397973656654358"
"35","0.4798964858055115","0.4798964858055115","0.4798964858055115","0.5500019192695618","0.5500019192695618","0.5500019192695618"
"36","0.48357030749320984","0.48357030749320984","0.48357030749320984","0.5483657121658325","0.5483657121658325","0.5483657121658325"
"37","0.4679875671863556","0.4679875671863556","0.4679875671863556","0.5354040265083313","0.5354040265083313","0.5354040265083313"
"38","0.4890349507331848","0.4890349507331848","0.4890349507331848","0.5387694239616394","0.5387694239616394","0.5387694239616394"
"39","0.499167799949646","0.499167799949646","0.499167799949646","0.5385890007019043","0.5385890007019043","0.5385890007019043"
"40","0.5073712468147278","0.5073712468147278","0.5073712468147278","0.5369805693626404","0.5369805693626404","0.5369805693626404"
"41","0.4933088719844818","0.4933088719844818","0.4933088719844818","0.5359331369400024","0.5359331369400024","0.5359331369400024"
