"epoch","transformer-2-no-w-nan - _step","transformer-2-no-w-nan - _step__MIN","transformer-2-no-w-nan - _step__MAX","transformer-2-no-w-nan - val/auc_w/ttH","transformer-2-no-w-nan - val/auc_w/ttH__MIN","transformer-2-no-w-nan - val/auc_w/ttH__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/auc_w/ttH","transformer-2 - val/auc_w/ttH__MIN","transformer-2 - val/auc_w/ttH__MAX"
"33","34","34","34","0.7530372784548582","0.7530372784548582","0.7530372784548582","33","33","33","0.7520638641444352","0.7520638641444352","0.7520638641444352"
"34","35","35","35","0.7460161272139196","0.7460161272139196","0.7460161272139196","34","34","34","0.7577196028909745","0.7577196028909745","0.7577196028909745"
"35","36","36","36","0.7618932079135007","0.7618932079135007","0.7618932079135007","35","35","35","0.7612358082028919","0.7612358082028919","0.7612358082028919"
"36","37","37","37","0.7500432385863953","0.7500432385863953","0.7500432385863953","36","36","36","0.7509513523313379","0.7509513523313379","0.7509513523313379"
"37","38","38","38","0.7305295887403253","0.7305295887403253","0.7305295887403253","37","37","37","0.7389171157262072","0.7389171157262072","0.7389171157262072"
"38","39","39","39","0.7403382850461089","0.7403382850461089","0.7403382850461089","38","38","38","0.754940066837875","0.754940066837875","0.754940066837875"
"39","40","40","40","0.760786344000541","0.760786344000541","0.760786344000541","39","39","39","0.7359444290974326","0.7359444290974326","0.7359444290974326"
"40","41","41","41","0.7461660271529259","0.7461660271529259","0.7461660271529259","40","40","40","0.742446308826819","0.742446308826819","0.742446308826819"
"41","42","42","42","0.7424614022797282","0.7424614022797282","0.7424614022797282","41","41","41","0.7650025576530513","0.7650025576530513","0.7650025576530513"
"42","43","43","43","0.7352794923642533","0.7352794923642533","0.7352794923642533","42","42","42","0.758476694717115","0.758476694717115","0.758476694717115"
"43","44","44","44","0.7406376989401806","0.7406376989401806","0.7406376989401806","43","43","43","0.7168610548087767","0.7168610548087767","0.7168610548087767"
"44","45","45","45","0.7377792188842439","0.7377792188842439","0.7377792188842439","44","44","44","0.7475065189389599","0.7475065189389599","0.7475065189389599"
"45","46","46","46","0.7249157576386165","0.7249157576386165","0.7249157576386165","45","45","45","0.7453001339083201","0.7453001339083201","0.7453001339083201"
"46","47","47","47","0.7315825339141865","0.7315825339141865","0.7315825339141865","46","46","46","0.7514333950667597","0.7514333950667597","0.7514333950667597"
"47","48","48","48","0.7358153635312734","0.7358153635312734","0.7358153635312734","47","47","47","0.743085933662075","0.743085933662075","0.743085933662075"
"48","49","49","49","0.7416249564866404","0.7416249564866404","0.7416249564866404","48","48","48","0.731648234413071","0.731648234413071","0.731648234413071"
"49","50","50","50","0.7395982602801524","0.7395982602801524","0.7395982602801524","49","49","49","0.7512430847290896","0.7512430847290896","0.7512430847290896"
"50","51","51","51","0.7346617918302215","0.7346617918302215","0.7346617918302215","50","50","50","0.7411538043197232","0.7411538043197232","0.7411538043197232"
"51","52","52","52","0.7248634840677745","0.7248634840677745","0.7248634840677745","51","51","51","0.7472826945819151","0.7472826945819151","0.7472826945819151"
"52","53","53","53","0.7336380171484157","0.7336380171484157","0.7336380171484157","52","52","52","0.7450121977637916","0.7450121977637916","0.7450121977637916"
"53","54","54","54","0.7159610165924671","0.7159610165924671","0.7159610165924671","53","53","53","0.7463899537253866","0.7463899537253866","0.7463899537253866"
