"epoch","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/loss","transformer-2 - val/loss__MIN","transformer-2 - val/loss__MAX","transformer-2 - trn/loss","transformer-2 - trn/loss__MIN","transformer-2 - trn/loss__MAX"
"21","21","21","21","1.0600972175598145","1.0600972175598145","1.0600972175598145","1.024771809577942","1.024771809577942","1.024771809577942"
"22","22","22","22","1.0445250272750854","1.0445250272750854","1.0445250272750854","1.006698489189148","1.006698489189148","1.006698489189148"
"23","23","23","23","1.0495177507400513","1.0495177507400513","1.0495177507400513","1.0017706155776978","1.0017706155776978","1.0017706155776978"
"24","24","24","24","1.0364656448364258","1.0364656448364258","1.0364656448364258","0.9865715503692627","0.9865715503692627","0.9865715503692627"
"25","25","25","25","1.0431057214736938","1.0431057214736938","1.0431057214736938","0.9891496896743774","0.9891496896743774","0.9891496896743774"
"26","26","26","26","1.0311789512634277","1.0311789512634277","1.0311789512634277","0.9711613655090332","0.9711613655090332","0.9711613655090332"
"27","27","27","27","1.0422141551971436","1.0422141551971436","1.0422141551971436","0.9792675971984863","0.9792675971984863","0.9792675971984863"
"28","28","28","28","1.0281517505645752","1.0281517505645752","1.0281517505645752","0.9604722261428833","0.9604722261428833","0.9604722261428833"
"29","29","29","29","1.0266566276550293","1.0266566276550293","1.0266566276550293","0.9515699148178101","0.9515699148178101","0.9515699148178101"
"30","30","30","30","1.0293773412704468","1.0293773412704468","1.0293773412704468","0.9495717287063599","0.9495717287063599","0.9495717287063599"
"31","31","31","31","1.020941972732544","1.020941972732544","1.020941972732544","0.9321045279502869","0.9321045279502869","0.9321045279502869"
"32","32","32","32","1.016718864440918","1.016718864440918","1.016718864440918","0.9289700984954834","0.9289700984954834","0.9289700984954834"
"33","33","33","33","1.0188226699829102","1.0188226699829102","1.0188226699829102","0.9201096892356873","0.9201096892356873","0.9201096892356873"
"34","34","34","34","1.0220327377319336","1.0220327377319336","1.0220327377319336","0.922082781791687","0.922082781791687","0.922082781791687"
"35","35","35","35","1.013086199760437","1.013086199760437","1.013086199760437","0.9036322832107544","0.9036322832107544","0.9036322832107544"
"36","36","36","36","1.0265898704528809","1.0265898704528809","1.0265898704528809","0.8976302146911621","0.8976302146911621","0.8976302146911621"
"37","37","37","37","1.051201581954956","1.051201581954956","1.051201581954956","0.926946759223938","0.926946759223938","0.926946759223938"
"38","38","38","38","1.0305280685424805","1.0305280685424805","1.0305280685424805","0.899463951587677","0.899463951587677","0.899463951587677"
"39","39","39","39","1.030896782875061","1.030896782875061","1.030896782875061","0.8904534578323364","0.8904534578323364","0.8904534578323364"
"40","40","40","40","1.0122150182724","1.0122150182724","1.0122150182724","0.8616603016853333","0.8616603016853333","0.8616603016853333"
"41","41","41","41","1.024043083190918","1.024043083190918","1.024043083190918","0.8645684719085693","0.8645684719085693","0.8645684719085693"
"42","42","42","42","1.0188006162643433","1.0188006162643433","1.0188006162643433","0.8458197712898254","0.8458197712898254","0.8458197712898254"
"43","43","43","43","1.0575599670410156","1.0575599670410156","1.0575599670410156","0.8916488289833069","0.8916488289833069","0.8916488289833069"
"44","44","44","44","1.023815631866455","1.023815631866455","1.023815631866455","0.8342335224151611","0.8342335224151611","0.8342335224151611"
"45","45","45","45","1.0200119018554688","1.0200119018554688","1.0200119018554688","0.8216608762741089","0.8216608762741089","0.8216608762741089"
"46","46","46","46","1.025122880935669","1.025122880935669","1.025122880935669","0.8052545785903931","0.8052545785903931","0.8052545785903931"
"47","47","47","47","1.0407977104187012","1.0407977104187012","1.0407977104187012","0.8066140413284302","0.8066140413284302","0.8066140413284302"
"48","48","48","48","1.059108018875122","1.059108018875122","1.059108018875122","0.8093392848968506","0.8093392848968506","0.8093392848968506"
"49","49","49","49","1.0560801029205322","1.0560801029205322","1.0560801029205322","0.7817080020904541","0.7817080020904541","0.7817080020904541"
"50","50","50","50","1.0503629446029663","1.0503629446029663","1.0503629446029663","0.7615063190460205","0.7615063190460205","0.7615063190460205"
"51","51","51","51","1.0708162784576416","1.0708162784576416","1.0708162784576416","0.7631818652153015","0.7631818652153015","0.7631818652153015"
"52","52","52","52","1.0602753162384033","1.0602753162384033","1.0602753162384033","0.74419105052948","0.74419105052948","0.74419105052948"
"53","53","53","53","1.0646438598632812","1.0646438598632812","1.0646438598632812","0.7337357997894287","0.7337357997894287","0.7337357997894287"
"54","54","54","54","1.0835275650024414","1.0835275650024414","1.0835275650024414","0.7157827019691467","0.7157827019691467","0.7157827019691467"
"55","55","55","55","1.09718656539917","1.09718656539917","1.09718656539917","0.6942147612571716","0.6942147612571716","0.6942147612571716"
"56","56","56","56","1.110398530960083","1.110398530960083","1.110398530960083","0.6952901482582092","0.6952901482582092","0.6952901482582092"
"57","57","57","57","1.1264246702194214","1.1264246702194214","1.1264246702194214","0.6742962002754211","0.6742962002754211","0.6742962002754211"
"58","58","58","58","1.1482875347137451","1.1482875347137451","1.1482875347137451","0.6615135669708252","0.6615135669708252","0.6615135669708252"
"59","59","59","59","1.1829172372817993","1.1829172372817993","1.1829172372817993","0.6593855619430542","0.6593855619430542","0.6593855619430542"
"60","60","60","60","1.181353211402893","1.181353211402893","1.181353211402893","0.6339349746704102","0.6339349746704102","0.6339349746704102"
"61","61","61","61","1.1980206966400146","1.1980206966400146","1.1980206966400146","0.6213803291320801","0.6213803291320801","0.6213803291320801"
"62","62","62","62","1.2365102767944336","1.2365102767944336","1.2365102767944336","0.6134502291679382","0.6134502291679382","0.6134502291679382"
"63","63","63","63","1.2378298044204712","1.2378298044204712","1.2378298044204712","0.5712202787399292","0.5712202787399292","0.5712202787399292"
"64","64","64","64","1.266814112663269","1.266814112663269","1.266814112663269","0.5730812549591064","0.5730812549591064","0.5730812549591064"
"65","65","65","65","1.2480790615081787","1.2480790615081787","1.2480790615081787","0.5571098923683167","0.5571098923683167","0.5571098923683167"
"66","66","66","66","1.2615337371826172","1.2615337371826172","1.2615337371826172","0.5361254215240479","0.5361254215240479","0.5361254215240479"
"67","67","67","67","1.3429404497146606","1.3429404497146606","1.3429404497146606","0.5133373141288757","0.5133373141288757","0.5133373141288757"
"68","68","68","68","1.3379871845245361","1.3379871845245361","1.3379871845245361","0.48221808671951294","0.48221808671951294","0.48221808671951294"
"69","69","69","69","1.3586751222610474","1.3586751222610474","1.3586751222610474","0.4518944025039673","0.4518944025039673","0.4518944025039673"
"70","70","70","70","1.3891899585723877","1.3891899585723877","1.3891899585723877","0.4621555805206299","0.4621555805206299","0.4621555805206299"
"71","71","71","71","1.4084562063217163","1.4084562063217163","1.4084562063217163","0.42350974678993225","0.42350974678993225","0.42350974678993225"
"72","72","72","72","1.4512150287628174","1.4512150287628174","1.4512150287628174","0.4082080125808716","0.4082080125808716","0.4082080125808716"
"73","73","73","73","1.5233222246170044","1.5233222246170044","1.5233222246170044","0.3918858468532562","0.3918858468532562","0.3918858468532562"
"74","74","74","74","1.5418388843536377","1.5418388843536377","1.5418388843536377","0.3804111182689667","0.3804111182689667","0.3804111182689667"
"75","75","75","75","1.5828801393508911","1.5828801393508911","1.5828801393508911","0.3430686891078949","0.3430686891078949","0.3430686891078949"
"76","76","76","76","1.6179605722427368","1.6179605722427368","1.6179605722427368","0.30746719241142273","0.30746719241142273","0.30746719241142273"
"77","77","77","77","1.6640592813491821","1.6640592813491821","1.6640592813491821","0.29595711827278137","0.29595711827278137","0.29595711827278137"
"78","78","78","78","1.734267234802246","1.734267234802246","1.734267234802246","0.28646159172058105","0.28646159172058105","0.28646159172058105"
"79","79","79","79","1.75693678855896","1.75693678855896","1.75693678855896","0.27166250348091125","0.27166250348091125","0.27166250348091125"
"80","80","80","80","1.8368864059448242","1.8368864059448242","1.8368864059448242","0.2406158596277237","0.2406158596277237","0.2406158596277237"
"81","81","81","81","1.8587948083877563","1.8587948083877563","1.8587948083877563","0.2250579446554184","0.2250579446554184","0.2250579446554184"
"82","82","82","82","1.8956196308135986","1.8956196308135986","1.8956196308135986","0.2011205554008484","0.2011205554008484","0.2011205554008484"
"83","83","83","83","1.9912779331207275","1.9912779331207275","1.9912779331207275","0.20641958713531494","0.20641958713531494","0.20641958713531494"
"84","84","84","84","2.0005249977111816","2.0005249977111816","2.0005249977111816","0.19654665887355804","0.19654665887355804","0.19654665887355804"
"85","85","85","85","2.118501901626587","2.118501901626587","2.118501901626587","0.18921251595020294","0.18921251595020294","0.18921251595020294"
"86","86","86","86","2.102663993835449","2.102663993835449","2.102663993835449","0.17852912843227386","0.17852912843227386","0.17852912843227386"
"87","87","87","87","2.202183246612549","2.202183246612549","2.202183246612549","0.15675748884677887","0.15675748884677887","0.15675748884677887"
"88","88","88","88","2.2290587425231934","2.2290587425231934","2.2290587425231934","0.15418463945388794","0.15418463945388794","0.15418463945388794"
"89","89","89","89","2.3232743740081787","2.3232743740081787","2.3232743740081787","0.11684296280145645","0.11684296280145645","0.11684296280145645"
"90","90","90","90","2.358110189437866","2.358110189437866","2.358110189437866","0.10709939152002335","0.10709939152002335","0.10709939152002335"
"91","91","91","91","2.3568317890167236","2.3568317890167236","2.3568317890167236","0.10185544937849045","0.10185544937849045","0.10185544937849045"
"92","92","92","92","2.4715914726257324","2.4715914726257324","2.4715914726257324","0.07981696724891663","0.07981696724891663","0.07981696724891663"
"93","93","93","93","2.5272958278656006","2.5272958278656006","2.5272958278656006","0.07314573228359222","0.07314573228359222","0.07314573228359222"
"94","94","94","94","2.5462594032287598","2.5462594032287598","2.5462594032287598","0.0729132890701294","0.0729132890701294","0.0729132890701294"
"95","95","95","95","2.671355724334717","2.671355724334717","2.671355724334717","0.06587760150432587","0.06587760150432587","0.06587760150432587"
"96","96","96","96","2.706899881362915","2.706899881362915","2.706899881362915","0.06140127032995224","0.06140127032995224","0.06140127032995224"
"97","97","97","97","2.7342584133148193","2.7342584133148193","2.7342584133148193","0.07266803085803986","0.07266803085803986","0.07266803085803986"
"98","98","98","98","2.8208417892456055","2.8208417892456055","2.8208417892456055","0.06789202243089676","0.06789202243089676","0.06789202243089676"
"99","99","99","99","2.82138991355896","2.82138991355896","2.82138991355896","0.07576056569814682","0.07576056569814682","0.07576056569814682"
"100","100","100","100","2.833035945892334","2.833035945892334","2.833035945892334","0.08211665600538254","0.08211665600538254","0.08211665600538254"
