"epoch","transformer-5-100-data-5000-batch-20-drop - _step","transformer-5-100-data-5000-batch-20-drop - _step__MIN","transformer-5-100-data-5000-batch-20-drop - _step__MAX","transformer-5-100-data-5000-batch-20-drop - val/loss","transformer-5-100-data-5000-batch-20-drop - val/loss__MIN","transformer-5-100-data-5000-batch-20-drop - val/loss__MAX","transformer-5-100-data-5000-batch-20-drop - trn/loss","transformer-5-100-data-5000-batch-20-drop - trn/loss__MIN","transformer-5-100-data-5000-batch-20-drop - trn/loss__MAX"
"32","32","32","32","0.8172792792320251","0.8172792792320251","0.8172792792320251","0.4793684184551239","0.4793684184551239","0.4793684184551239"
"33","33","33","33","0.8164584636688232","0.8164584636688232","0.8164584636688232","0.4788195490837097","0.4788195490837097","0.4788195490837097"
"34","34","34","34","0.8278539180755615","0.8278539180755615","0.8278539180755615","0.4844542443752289","0.4844542443752289","0.4844542443752289"
"35","35","35","35","0.8128706812858582","0.8128706812858582","0.8128706812858582","0.47676151990890503","0.47676151990890503","0.47676151990890503"
"36","36","36","36","0.8082953691482544","0.8082953691482544","0.8082953691482544","0.4830014407634735","0.4830014407634735","0.4830014407634735"
"37","37","37","37","0.8115413188934326","0.8115413188934326","0.8115413188934326","0.47889047861099243","0.47889047861099243","0.47889047861099243"
"38","38","38","38","0.8173713684082031","0.8173713684082031","0.8173713684082031","0.4777980446815491","0.4777980446815491","0.4777980446815491"
"39","39","39","39","0.8038577437400818","0.8038577437400818","0.8038577437400818","0.4759570062160492","0.4759570062160492","0.4759570062160492"
"40","40","40","40","0.8109856843948364","0.8109856843948364","0.8109856843948364","0.47353947162628174","0.47353947162628174","0.47353947162628174"
"41","41","41","41","0.8050962686538696","0.8050962686538696","0.8050962686538696","0.4719972610473633","0.4719972610473633","0.4719972610473633"
"42","42","42","42","0.8116160035133362","0.8116160035133362","0.8116160035133362","0.47322455048561096","0.47322455048561096","0.47322455048561096"
"43","43","43","43","0.8102714419364929","0.8102714419364929","0.8102714419364929","0.47262606024742126","0.47262606024742126","0.47262606024742126"
"44","44","44","44","0.8050960302352905","0.8050960302352905","0.8050960302352905","0.47154131531715393","0.47154131531715393","0.47154131531715393"
"45","45","45","45","0.8163152933120728","0.8163152933120728","0.8163152933120728","0.47157105803489685","0.47157105803489685","0.47157105803489685"
"46","46","46","46","0.8029845952987671","0.8029845952987671","0.8029845952987671","0.46968215703964233","0.46968215703964233","0.46968215703964233"
"47","47","47","47","0.810721755027771","0.810721755027771","0.810721755027771","0.4669325351715088","0.4669325351715088","0.4669325351715088"
"48","48","48","48","0.8061234951019287","0.8061234951019287","0.8061234951019287","0.470230370759964","0.470230370759964","0.470230370759964"
"49","49","49","49","0.808883786201477","0.808883786201477","0.808883786201477","0.4712409973144531","0.4712409973144531","0.4712409973144531"
"50","50","50","50","0.8070290684700012","0.8070290684700012","0.8070290684700012","0.4682001769542694","0.4682001769542694","0.4682001769542694"
"51","51","51","51","0.8006296157836914","0.8006296157836914","0.8006296157836914","0.4668295383453369","0.4668295383453369","0.4668295383453369"
"52","52","52","52","0.8064937591552734","0.8064937591552734","0.8064937591552734","0.4805844724178314","0.4805844724178314","0.4805844724178314"
"53","53","53","53","0.7955044507980347","0.7955044507980347","0.7955044507980347","0.4643659293651581","0.4643659293651581","0.4643659293651581"
"54","54","54","54","0.7990843653678894","0.7990843653678894","0.7990843653678894","0.4712379574775696","0.4712379574775696","0.4712379574775696"
"55","55","55","55","0.80610591173172","0.80610591173172","0.80610591173172","0.46452876925468445","0.46452876925468445","0.46452876925468445"
"56","56","56","56","0.8059973120689392","0.8059973120689392","0.8059973120689392","0.4664316475391388","0.4664316475391388","0.4664316475391388"
"57","57","57","57","0.8041538000106812","0.8041538000106812","0.8041538000106812","0.4660000205039978","0.4660000205039978","0.4660000205039978"
"58","58","58","58","0.8183287382125854","0.8183287382125854","0.8183287382125854","0.4622429609298706","0.4622429609298706","0.4622429609298706"
"59","59","59","59","0.8004363179206848","0.8004363179206848","0.8004363179206848","0.460927814245224","0.460927814245224","0.460927814245224"
"60","60","60","60","0.8050081729888916","0.8050081729888916","0.8050081729888916","0.4610111117362976","0.4610111117362976","0.4610111117362976"
"61","61","61","61","0.8026487827301025","0.8026487827301025","0.8026487827301025","0.45835983753204346","0.45835983753204346","0.45835983753204346"
"62","62","62","62","0.8046810626983643","0.8046810626983643","0.8046810626983643","0.46912890672683716","0.46912890672683716","0.46912890672683716"
"63","63","63","63","0.8076973557472229","0.8076973557472229","0.8076973557472229","0.4625162184238434","0.4625162184238434","0.4625162184238434"
"64","64","64","64","0.8110451698303223","0.8110451698303223","0.8110451698303223","0.4592309594154358","0.4592309594154358","0.4592309594154358"
"65","65","65","65","0.8049161434173584","0.8049161434173584","0.8049161434173584","0.4691607654094696","0.4691607654094696","0.4691607654094696"
"66","66","66","66","0.7973002195358276","0.7973002195358276","0.7973002195358276","0.4582091271877289","0.4582091271877289","0.4582091271877289"
"67","67","67","67","0.8008219003677368","0.8008219003677368","0.8008219003677368","0.4560667872428894","0.4560667872428894","0.4560667872428894"
"68","68","68","68","0.8010895252227783","0.8010895252227783","0.8010895252227783","0.45912113785743713","0.45912113785743713","0.45912113785743713"
"69","69","69","69","0.8073853254318237","0.8073853254318237","0.8073853254318237","0.4546084702014923","0.4546084702014923","0.4546084702014923"
"70","70","70","70","0.7952110767364502","0.7952110767364502","0.7952110767364502","0.45635682344436646","0.45635682344436646","0.45635682344436646"
"71","71","71","71","0.8086018562316895","0.8086018562316895","0.8086018562316895","0.45900484919548035","0.45900484919548035","0.45900484919548035"
"72","72","72","72","0.8112747669219971","0.8112747669219971","0.8112747669219971","0.45414620637893677","0.45414620637893677","0.45414620637893677"
"73","73","73","73","0.8125267028808594","0.8125267028808594","0.8125267028808594","0.45410653948783875","0.45410653948783875","0.45410653948783875"
"74","74","74","74","0.8079395294189453","0.8079395294189453","0.8079395294189453","0.45397377014160156","0.45397377014160156","0.45397377014160156"
"75","75","75","75","0.8157297968864441","0.8157297968864441","0.8157297968864441","0.45200738310813904","0.45200738310813904","0.45200738310813904"
