"Step","transformer-2-100-data-5000-batch - val/auc_w/ttH","transformer-2-100-data-5000-batch - val/auc_w/ttH__MIN","transformer-2-100-data-5000-batch - val/auc_w/ttH__MAX","transformer-2-50-data - val/auc_w/ttH","transformer-2-50-data - val/auc_w/ttH__MIN","transformer-2-50-data - val/auc_w/ttH__MAX","transformer-2-10-data - val/auc_w/ttH","transformer-2-10-data - val/auc_w/ttH__MIN","transformer-2-10-data - val/auc_w/ttH__MAX","transformer-2-5-data - val/auc_w/ttH","transformer-2-5-data - val/auc_w/ttH__MIN","transformer-2-5-data - val/auc_w/ttH__MAX","transformer-2 - val/auc_w/ttH","transformer-2 - val/auc_w/ttH__MIN","transformer-2 - val/auc_w/ttH__MAX"
"1","0.7768563875203378","0.7768563875203378","0.7768563875203378","0.77399603775018","0.77399603775018","0.77399603775018","0.6630232373016509","0.6630232373016509","0.6630232373016509","0.6878190336485968","0.6878190336485968","0.6878190336485968","0.5916381712406114","0.5916381712406114","0.5916381712406114"
"2","0.7912790694072559","0.7912790694072559","0.7912790694072559","0.7875720392036836","0.7875720392036836","0.7875720392036836","0.7310771949232145","0.7310771949232145","0.7310771949232145","0.642049624277768","0.642049624277768","0.642049624277768","0.6275400053688894","0.6275400053688894","0.6275400053688894"
"3","0.7949620375194757","0.7949620375194757","0.7949620375194757","0.7874364386130267","0.7874364386130267","0.7874364386130267","0.7088746410122853","0.7088746410122853","0.7088746410122853","0.7145790948957808","0.7145790948957808","0.7145790948957808","0.6499130075684647","0.6499130075684647","0.6499130075684647"
"4","0.7907572860116023","0.7907572860116023","0.7907572860116023","0.7933095836922346","0.7933095836922346","0.7933095836922346","0.7471958788398685","0.7471958788398685","0.7471958788398685","0.7298286174884193","0.7298286174884193","0.7298286174884193","0.6527983439640017","0.6527983439640017","0.6527983439640017"
"5","0.7938518451860783","0.7938518451860783","0.7938518451860783","0.7905910169034363","0.7905910169034363","0.7905910169034363","0.7732659376147711","0.7732659376147711","0.7732659376147711","0.6896809439219604","0.6896809439219604","0.6896809439219604","0.6533806974650211","0.6533806974650211","0.6533806974650211"
"6","0.7923372625250801","0.7923372625250801","0.7923372625250801","0.798306561755336","0.798306561755336","0.798306561755336","0.7806327278445925","0.7806327278445925","0.7806327278445925","0.7653055706917196","0.7653055706917196","0.7653055706917196","0.6501103468023719","0.6501103468023719","0.6501103468023719"
"7","0.7964466044209932","0.7964466044209932","0.7964466044209932","0.7965101263151592","0.7965101263151592","0.7965101263151592","0.7773410481018491","0.7773410481018491","0.7773410481018491","0.7575184016134836","0.7575184016134836","0.7575184016134836","0.6472948948645459","0.6472948948645459","0.6472948948645459"
"8","0.8026033913609805","0.8026033913609805","0.8026033913609805","0.7969837766443921","0.7969837766443921","0.7969837766443921","0.7699430941233554","0.7699430941233554","0.7699430941233554","0.7656042487381035","0.7656042487381035","0.7656042487381035","0.6411628762761448","0.6411628762761448","0.6411628762761448"
"9","0.8090918376071836","0.8090918376071836","0.8090918376071836","0.8067045106556339","0.8067045106556339","0.8067045106556339","0.7854726955915639","0.7854726955915639","0.7854726955915639","0.7468423713443484","0.7468423713443484","0.7468423713443484","0.6241768686266751","0.6241768686266751","0.6241768686266751"
"10","0.801207563734689","0.801207563734689","0.801207563734689","0.8012180047563218","0.8012180047563218","0.8012180047563218","0.7856298269158","0.7856298269158","0.7856298269158","0.7628900272700828","0.7628900272700828","0.7628900272700828","0.636455896843119","0.636455896843119","0.636455896843119"
