"Step","transformer-2-100-data-5000-batch - sig/significance","transformer-2-100-data-5000-batch - sig/significance__MIN","transformer-2-100-data-5000-batch - sig/significance__MAX","transformer-2-50-data - sig/significance","transformer-2-50-data - sig/significance__MIN","transformer-2-50-data - sig/significance__MAX","transformer-2-10-data - sig/significance","transformer-2-10-data - sig/significance__MIN","transformer-2-10-data - sig/significance__MAX","transformer-2-5-data - sig/significance","transformer-2-5-data - sig/significance__MIN","transformer-2-5-data - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"17","2.5103793144226074","2.5103793144226074","2.5103793144226074","2.4924752712249756","2.4924752712249756","2.4924752712249756","2.4230217933654785","2.4230217933654785","2.4230217933654785","2.4117536544799805","2.4117536544799805","2.4117536544799805","2.246731996536255","2.246731996536255","2.246731996536255"
"18","2.5120277404785156","2.5120277404785156","2.5120277404785156","2.51275897026062","2.51275897026062","2.51275897026062","2.4532036781311035","2.4532036781311035","2.4532036781311035","2.4303650856018066","2.4303650856018066","2.4303650856018066","2.3106157779693604","2.3106157779693604","2.3106157779693604"
"19","2.5185415744781494","2.5185415744781494","2.5185415744781494","2.5050463676452637","2.5050463676452637","2.5050463676452637","2.434461832046509","2.434461832046509","2.434461832046509","2.443934917449951","2.443934917449951","2.443934917449951","2.292386293411255","2.292386293411255","2.292386293411255"
"20","2.504737138748169","2.504737138748169","2.504737138748169","2.4918227195739746","2.4918227195739746","2.4918227195739746","2.4496567249298096","2.4496567249298096","2.4496567249298096","2.3952393531799316","2.3952393531799316","2.3952393531799316","2.3217196464538574","2.3217196464538574","2.3217196464538574"
"21","2.5201759338378906","2.5201759338378906","2.5201759338378906","2.501765727996826","2.501765727996826","2.501765727996826","2.4464492797851562","2.4464492797851562","2.4464492797851562","2.4450533390045166","2.4450533390045166","2.4450533390045166","2.3430299758911133","2.3430299758911133","2.3430299758911133"
"22","2.5122742652893066","2.5122742652893066","2.5122742652893066","2.4954099655151367","2.4954099655151367","2.4954099655151367","2.4573028087615967","2.4573028087615967","2.4573028087615967","2.420989513397217","2.420989513397217","2.420989513397217","2.3518166542053223","2.3518166542053223","2.3518166542053223"
"23","2.504995107650757","2.504995107650757","2.504995107650757","2.51503324508667","2.51503324508667","2.51503324508667","2.4219064712524414","2.4219064712524414","2.4219064712524414","2.424311876296997","2.424311876296997","2.424311876296997","2.332634687423706","2.332634687423706","2.332634687423706"
"24","2.5067806243896484","2.5067806243896484","2.5067806243896484","2.501324415206909","2.501324415206909","2.501324415206909","2.4532759189605713","2.4532759189605713","2.4532759189605713","2.4227073192596436","2.4227073192596436","2.4227073192596436","2.363978147506714","2.363978147506714","2.363978147506714"
"25","2.512840509414673","2.512840509414673","2.512840509414673","2.5095651149749756","2.5095651149749756","2.5095651149749756","2.417515277862549","2.417515277862549","2.417515277862549","2.4174916744232178","2.4174916744232178","2.4174916744232178","2.3497114181518555","2.3497114181518555","2.3497114181518555"
"26","2.5117788314819336","2.5117788314819336","2.5117788314819336","2.512209415435791","2.512209415435791","2.512209415435791","2.417893409729004","2.417893409729004","2.417893409729004","2.3524985313415527","2.3524985313415527","2.3524985313415527","2.336286783218384","2.336286783218384","2.336286783218384"
"27","2.5130505561828613","2.5130505561828613","2.5130505561828613","2.485469341278076","2.485469341278076","2.485469341278076","2.379906415939331","2.379906415939331","2.379906415939331","2.4246435165405273","2.4246435165405273","2.4246435165405273","2.2947258949279785","2.2947258949279785","2.2947258949279785"
"28","2.534632682800293","2.534632682800293","2.534632682800293","2.5064656734466553","2.5064656734466553","2.5064656734466553","2.4361069202423096","2.4361069202423096","2.4361069202423096","2.373264789581299","2.373264789581299","2.373264789581299","2.2878592014312744","2.2878592014312744","2.2878592014312744"
"29","2.5206453800201416","2.5206453800201416","2.5206453800201416","2.507560968399048","2.507560968399048","2.507560968399048","2.4083971977233887","2.4083971977233887","2.4083971977233887","2.4197769165039062","2.4197769165039062","2.4197769165039062","2.3679187297821045","2.3679187297821045","2.3679187297821045"
"30","2.5097734928131104","2.5097734928131104","2.5097734928131104","2.5105414390563965","2.5105414390563965","2.5105414390563965","2.445113182067871","2.445113182067871","2.445113182067871","2.4328176975250244","2.4328176975250244","2.4328176975250244","2.354034900665283","2.354034900665283","2.354034900665283"
"31","2.5103023052215576","2.5103023052215576","2.5103023052215576","2.519313097000122","2.519313097000122","2.519313097000122","2.4498097896575928","2.4498097896575928","2.4498097896575928","2.4360179901123047","2.4360179901123047","2.4360179901123047","2.343345880508423","2.343345880508423","2.343345880508423"
"32","2.51554536819458","2.51554536819458","2.51554536819458","2.514615774154663","2.514615774154663","2.514615774154663","2.3821728229522705","2.3821728229522705","2.3821728229522705","2.4199836254119873","2.4199836254119873","2.4199836254119873","2.3767287731170654","2.3767287731170654","2.3767287731170654"
"33","2.5187768936157227","2.5187768936157227","2.5187768936157227","2.5151455402374268","2.5151455402374268","2.5151455402374268","2.425248384475708","2.425248384475708","2.425248384475708","2.4394938945770264","2.4394938945770264","2.4394938945770264","2.359884023666382","2.359884023666382","2.359884023666382"
"34","2.520936965942383","2.520936965942383","2.520936965942383","2.5165765285491943","2.5165765285491943","2.5165765285491943","2.4264109134674072","2.4264109134674072","2.4264109134674072","2.415231227874756","2.415231227874756","2.415231227874756","2.3798325061798096","2.3798325061798096","2.3798325061798096"
"35","2.529940128326416","2.529940128326416","2.529940128326416","2.501960515975952","2.501960515975952","2.501960515975952","2.434793710708618","2.434793710708618","2.434793710708618","2.4309794902801514","2.4309794902801514","2.4309794902801514","2.3776164054870605","2.3776164054870605","2.3776164054870605"
"36","2.4855568408966064","2.4855568408966064","2.4855568408966064","2.5160422325134277","2.5160422325134277","2.5160422325134277","2.4167680740356445","2.4167680740356445","2.4167680740356445","2.413790464401245","2.413790464401245","2.413790464401245","2.3719215393066406","2.3719215393066406","2.3719215393066406"
"37","2.5102617740631104","2.5102617740631104","2.5102617740631104","2.4932942390441895","2.4932942390441895","2.4932942390441895","2.4387261867523193","2.4387261867523193","2.4387261867523193","2.3571975231170654","2.3571975231170654","2.3571975231170654","2.3388659954071045","2.3388659954071045","2.3388659954071045"
"38","2.508653163909912","2.508653163909912","2.508653163909912","2.5256519317626953","2.5256519317626953","2.5256519317626953","2.4145097732543945","2.4145097732543945","2.4145097732543945","2.400749921798706","2.400749921798706","2.400749921798706","2.369664192199707","2.369664192199707","2.369664192199707"
"39","2.511638641357422","2.511638641357422","2.511638641357422","2.4906516075134277","2.4906516075134277","2.4906516075134277","2.4254677295684814","2.4254677295684814","2.4254677295684814","2.3531880378723145","2.3531880378723145","2.3531880378723145","2.2717912197113037","2.2717912197113037","2.2717912197113037"
"40","2.524930000305176","2.524930000305176","2.524930000305176","2.484714984893799","2.484714984893799","2.484714984893799","2.4234166145324707","2.4234166145324707","2.4234166145324707","2.4229228496551514","2.4229228496551514","2.4229228496551514","2.3554182052612305","2.3554182052612305","2.3554182052612305"
"41","2.5343055725097656","2.5343055725097656","2.5343055725097656","2.5043880939483643","2.5043880939483643","2.5043880939483643","2.430793523788452","2.430793523788452","2.430793523788452","2.3849105834960938","2.3849105834960938","2.3849105834960938","2.383807420730591","2.383807420730591","2.383807420730591"
"42","2.535541534423828","2.535541534423828","2.535541534423828","2.4986634254455566","2.4986634254455566","2.4986634254455566","2.423187494277954","2.423187494277954","2.423187494277954","2.372377395629883","2.372377395629883","2.372377395629883","2.3886818885803223","2.3886818885803223","2.3886818885803223"
"43","2.5145928859710693","2.5145928859710693","2.5145928859710693","2.5063281059265137","2.5063281059265137","2.5063281059265137","2.4128715991973877","2.4128715991973877","2.4128715991973877","2.4013941287994385","2.4013941287994385","2.4013941287994385","2.310900926589966","2.310900926589966","2.310900926589966"
"44","2.5138168334960938","2.5138168334960938","2.5138168334960938","2.50254487991333","2.50254487991333","2.50254487991333","2.3924221992492676","2.3924221992492676","2.3924221992492676","2.3988964557647705","2.3988964557647705","2.3988964557647705","2.3667490482330322","2.3667490482330322","2.3667490482330322"
"45","2.5204977989196777","2.5204977989196777","2.5204977989196777","2.5000226497650146","2.5000226497650146","2.5000226497650146","2.414362668991089","2.414362668991089","2.414362668991089","2.3923487663269043","2.3923487663269043","2.3923487663269043","2.3480000495910645","2.3480000495910645","2.3480000495910645"
"46","2.502326011657715","2.502326011657715","2.502326011657715","2.5057077407836914","2.5057077407836914","2.5057077407836914","2.417579412460327","2.417579412460327","2.417579412460327","2.354459524154663","2.354459524154663","2.354459524154663","2.3802244663238525","2.3802244663238525","2.3802244663238525"
"47","2.5162463188171387","2.5162463188171387","2.5162463188171387","2.506779670715332","2.506779670715332","2.506779670715332","2.4132635593414307","2.4132635593414307","2.4132635593414307","2.383605718612671","2.383605718612671","2.383605718612671","2.3489701747894287","2.3489701747894287","2.3489701747894287"
"48","2.5107216835021973","2.5107216835021973","2.5107216835021973","2.49409556388855","2.49409556388855","2.49409556388855","2.4124093055725098","2.4124093055725098","2.4124093055725098","2.396796464920044","2.396796464920044","2.396796464920044","2.282367467880249","2.282367467880249","2.282367467880249"
"49","2.5188543796539307","2.5188543796539307","2.5188543796539307","2.509594440460205","2.509594440460205","2.509594440460205","2.398907423019409","2.398907423019409","2.398907423019409","2.396242618560791","2.396242618560791","2.396242618560791","2.3639886379241943","2.3639886379241943","2.3639886379241943"
"50","2.487582206726074","2.487582206726074","2.487582206726074","2.5076041221618652","2.5076041221618652","2.5076041221618652","2.394740343093872","2.394740343093872","2.394740343093872","2.3588364124298096","2.3588364124298096","2.3588364124298096","2.357144594192505","2.357144594192505","2.357144594192505"
"51","2.5232322216033936","2.5232322216033936","2.5232322216033936","2.495445728302002","2.495445728302002","2.495445728302002","2.4050216674804688","2.4050216674804688","2.4050216674804688","2.392378330230713","2.392378330230713","2.392378330230713","2.365023374557495","2.365023374557495","2.365023374557495"
"52","2.516110897064209","2.516110897064209","2.516110897064209","2.504441499710083","2.504441499710083","2.504441499710083","2.420982599258423","2.420982599258423","2.420982599258423","2.4119815826416016","2.4119815826416016","2.4119815826416016","2.338822841644287","2.338822841644287","2.338822841644287"
"53","2.501168966293335","2.501168966293335","2.501168966293335","2.5062477588653564","2.5062477588653564","2.5062477588653564","2.382692813873291","2.382692813873291","2.382692813873291","2.3865303993225098","2.3865303993225098","2.3865303993225098","2.3594117164611816","2.3594117164611816","2.3594117164611816"
"54","2.5039472579956055","2.5039472579956055","2.5039472579956055","2.488229274749756","2.488229274749756","2.488229274749756","2.4076037406921387","2.4076037406921387","2.4076037406921387","2.3916141986846924","2.3916141986846924","2.3916141986846924","2.361478567123413","2.361478567123413","2.361478567123413"
"55","2.498063564300537","2.498063564300537","2.498063564300537","2.51169753074646","2.51169753074646","2.51169753074646","2.40649151802063","2.40649151802063","2.40649151802063","2.381507158279419","2.381507158279419","2.381507158279419","2.3548600673675537","2.3548600673675537","2.3548600673675537"
"56","2.5141539573669434","2.5141539573669434","2.5141539573669434","2.4964988231658936","2.4964988231658936","2.4964988231658936","2.379333019256592","2.379333019256592","2.379333019256592","2.3650052547454834","2.3650052547454834","2.3650052547454834","2.335609197616577","2.335609197616577","2.335609197616577"
"57","2.510186195373535","2.510186195373535","2.510186195373535","2.504889488220215","2.504889488220215","2.504889488220215","2.4269661903381348","2.4269661903381348","2.4269661903381348","2.370439052581787","2.370439052581787","2.370439052581787","2.349841356277466","2.349841356277466","2.349841356277466"
"58","2.5274784564971924","2.5274784564971924","2.5274784564971924","2.5033957958221436","2.5033957958221436","2.5033957958221436","2.4026315212249756","2.4026315212249756","2.4026315212249756","2.3781142234802246","2.3781142234802246","2.3781142234802246","2.3381049633026123","2.3381049633026123","2.3381049633026123"
"59","2.493248224258423","2.493248224258423","2.493248224258423","2.4958291053771973","2.4958291053771973","2.4958291053771973","2.4050447940826416","2.4050447940826416","2.4050447940826416","2.335247039794922","2.335247039794922","2.335247039794922","2.2968130111694336","2.2968130111694336","2.2968130111694336"
"60","2.5207769870758057","2.5207769870758057","2.5207769870758057","2.499619483947754","2.499619483947754","2.499619483947754","2.397392988204956","2.397392988204956","2.397392988204956","2.3774900436401367","2.3774900436401367","2.3774900436401367","2.339891195297241","2.339891195297241","2.339891195297241"
"61","2.522737979888916","2.522737979888916","2.522737979888916","2.493391990661621","2.493391990661621","2.493391990661621","2.3923866748809814","2.3923866748809814","2.3923866748809814","2.3593766689300537","2.3593766689300537","2.3593766689300537","2.300947427749634","2.300947427749634","2.300947427749634"
"62","2.506587028503418","2.506587028503418","2.506587028503418","2.488738775253296","2.488738775253296","2.488738775253296","2.3651580810546875","2.3651580810546875","2.3651580810546875","2.2943263053894043","2.2943263053894043","2.2943263053894043","2.3533947467803955","2.3533947467803955","2.3533947467803955"
"63","2.492539644241333","2.492539644241333","2.492539644241333","2.497525691986084","2.497525691986084","2.497525691986084","2.3667380809783936","2.3667380809783936","2.3667380809783936","2.3345658779144287","2.3345658779144287","2.3345658779144287","2.307847738265991","2.307847738265991","2.307847738265991"
"64","2.5132639408111572","2.5132639408111572","2.5132639408111572","2.49753999710083","2.49753999710083","2.49753999710083","2.380518674850464","2.380518674850464","2.380518674850464","2.3515045642852783","2.3515045642852783","2.3515045642852783","2.3215363025665283","2.3215363025665283","2.3215363025665283"
"65","2.4971678256988525","2.4971678256988525","2.4971678256988525","2.483647346496582","2.483647346496582","2.483647346496582","2.3864400386810303","2.3864400386810303","2.3864400386810303","2.375563383102417","2.375563383102417","2.375563383102417","2.306217670440674","2.306217670440674","2.306217670440674"
