"Step","resnet-8 - sig/significance","resnet-8 - sig/significance__MIN","resnet-8 - sig/significance__MAX","resnet-8-embed-nan-w - sig/significance","resnet-8-embed-nan-w - sig/significance__MIN","resnet-8-embed-nan-w - sig/significance__MAX","resnet-8-embed - sig/significance","resnet-8-embed - sig/significance__MIN","resnet-8-embed - sig/significance__MAX","resnet-8-nan-w - sig/significance","resnet-8-nan-w - sig/significance__MIN","resnet-8-nan-w - sig/significance__MAX"
"11","2.1619174480438232","2.1619174480438232","2.1619174480438232","2.1597282886505127","2.1597282886505127","2.1597282886505127","2.150041103363037","2.150041103363037","2.150041103363037","2.168199300765991","2.168199300765991","2.168199300765991"
"12","2.157963991165161","2.157963991165161","2.157963991165161","2.1604461669921875","2.1604461669921875","2.1604461669921875","2.1631054878234863","2.1631054878234863","2.1631054878234863","2.1928744316101074","2.1928744316101074","2.1928744316101074"
"13","2.185739278793335","2.185739278793335","2.185739278793335","2.1544668674468994","2.1544668674468994","2.1544668674468994","2.171950340270996","2.171950340270996","2.171950340270996","2.2212741374969482","2.2212741374969482","2.2212741374969482"
"14","2.2002930641174316","2.2002930641174316","2.2002930641174316","2.1693036556243896","2.1693036556243896","2.1693036556243896","2.168546199798584","2.168546199798584","2.168546199798584","2.1969997882843018","2.1969997882843018","2.1969997882843018"
"15","2.209369659423828","2.209369659423828","2.209369659423828","2.17284893989563","2.17284893989563","2.17284893989563","2.164381265640259","2.164381265640259","2.164381265640259","2.217449903488159","2.217449903488159","2.217449903488159"
"16","2.228036403656006","2.228036403656006","2.228036403656006","2.162673234939575","2.162673234939575","2.162673234939575","2.1631715297698975","2.1631715297698975","2.1631715297698975","2.2300620079040527","2.2300620079040527","2.2300620079040527"
"17","2.2030670642852783","2.2030670642852783","2.2030670642852783","2.1647677421569824","2.1647677421569824","2.1647677421569824","2.158107280731201","2.158107280731201","2.158107280731201","2.184576988220215","2.184576988220215","2.184576988220215"
"18","2.2284514904022217","2.2284514904022217","2.2284514904022217","2.16051983833313","2.16051983833313","2.16051983833313","2.1514196395874023","2.1514196395874023","2.1514196395874023","2.20115065574646","2.20115065574646","2.20115065574646"
"19","2.2063961029052734","2.2063961029052734","2.2063961029052734","2.1600425243377686","2.1600425243377686","2.1600425243377686","2.1651501655578613","2.1651501655578613","2.1651501655578613","2.2349555492401123","2.2349555492401123","2.2349555492401123"
"20","2.186972141265869","2.186972141265869","2.186972141265869","2.165048360824585","2.165048360824585","2.165048360824585","2.1868855953216553","2.1868855953216553","2.1868855953216553","2.189866781234741","2.189866781234741","2.189866781234741"
